#name, A, B, C, D, E, F
NODE_0000023, 8.903222494699378e-11, 1.9931727313951384e-05, 1.3503832942332232e-09, 0.9999800424653349, 6.948166300813831e-10, 2.3673118915294923e-08
HQ671712/2000/USA/CT/Fairfield/NY99/unknown/Mosquito-Culiseta, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
NODE_0000032, 8.889206988823369e-11, 1.9251406318364302e-05, 1.3483934296369938e-09, 0.9999807228712319, 6.939128812651393e-10, 2.3591251276451602e-08
KX547353/2000/USA/NY/Suffolk/NY99/unknown/Mosquito-Culex, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
DQ164194/2001/USA/NY/Suffolk/NY99/unknown/Bird-crow, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
NODE_0000033, 8.917966032925613e-11, 2.0684988434095634e-05, 1.352406783618501e-09, 0.9999792891182617, 6.95740197210589e-10, 2.375597753462874e-08
NODE_0000034, 8.917990341168116e-11, 2.0686681201159725e-05, 1.3524077173192388e-09, 0.9999792874254853, 6.957408005186879e-10, 2.3755985222523843e-08
NODE_0000072, 8.918276449013976e-11, 2.0706487838129825e-05, 1.3524204955199043e-09, 0.9999792676184927, 6.9574846304709e-10, 2.3756317565392804e-08
NODE_0000037, 8.916912559027932e-11, 2.0612099170779805e-05, 1.352360932142443e-09, 0.9999793620086683, 6.957123566612432e-10, 2.3754918412839557e-08
NODE_0000075, 8.889553622412242e-11, 1.9273837276755177e-05, 1.3484085323229696e-09, 0.9999807004398964, 6.939220504117907e-10, 2.3591600654781107e-08
HM488132/2000/USA/CT/Fairfield/NY99/unknown/Mosquito-Culiseta, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
HQ671708/2000/USA/CT/Fairfield/NY99/unknown/Mosquito-Culex, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
NODE_0000039, 8.889553622412242e-11, 1.9273837276755177e-05, 1.3484085323229696e-09, 0.9999807004398964, 6.939220504117907e-10, 2.3591600654781107e-08
HQ671710/2000/USA/CT/Fairfield/NY99/unknown/Mosquito-Culex, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
KX547519/2000/USA/NY/Westchester/NY99/unknown/Mosquito-Culex, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
NODE_0000076, 8.917259532733034e-11, 2.063608271084641e-05, 1.3523760584660577e-09, 0.9999793380247488, 6.957215344557551e-10, 2.375527020085215e-08
NODE_0000077, 8.889565770346543e-11, 1.9274627982031812e-05, 1.3484089990920342e-09, 0.9999806996491863, 6.939223521090419e-10, 2.3591604481532784e-08
KJ501289/2001/USA/DC/District_Of_Columbia/NY99/unknown/Bird-crow, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
KJ501343/2001/USA/DC/District_Of_Columbia/NY99/unknown/Bird-crow, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
