"","geo","value","lat","long"
"1","trap","BC-09",NA,NA
"2","trap","BC-18",NA,NA
"3","trap","LV-021 LV-042",NA,NA
"4","trap","LV-101",NA,NA
"5","trap","LV-123",NA,NA
"6","trap","LV-FLOAT",NA,NA
