"","accession","date","country","state","city","host","lineage","year","zone","trap"
"1","MK352483",2019-04-29,"USA","DC","District-Of-Columbia","Mosquito-Other","WN02",2019,NA,NA
"2","MT905060",2019-06-13,"Brazil","BRA/ES","Joao-Neiva","Horse","NY99",2019,NA,NA
