"","intro_node_num","fst_sample_date","last_sample_date","intro_label","inferred_trap","intro_inferred_date","inferred_zone","intro_trap_1","intro_trap_2","intro_zone_1","intro_zone_2","zone_match","n","foco_n","inferred_duration","sample_duration","intro","intro_year","intro_month","intro_month0","inferred_persistence","persistence"
"20",2699,2016-08-10,2016-08-10,"CSU9762/2016/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex","FC-089GR",2016-08-10,"CO/FC/SW","FC-088GR",NA,"CO/FC/SE",NA,FALSE,1,1,0,0,20,2016,"8",1,"short","short"
"21",2713,2013-08-15,2013-08-15,"CSU5162/2013/USA/CO/FC/SW/unknown/unknown/Mosquito-Culex","FL/Hillsborough",2013-08-15,"FL/Hillsborough","FC-093",NA,"CO/FC/SW",NA,FALSE,1,1,0,0,21,2013,"8",1,"short","short"
"22",2717,2016-08-18,2016-08-18,"CSU9921/2016/USA/CO/FC/SW/unknown/unknown/Mosquito-Culex","FC-090GR",2016-08-18,"CO/FC/NW","FC-089GR",NA,"CO/FC/SW",NA,FALSE,1,1,0,0,22,2016,"8",1,"short","short"
"23",2723,2015-08-03,2015-08-03,"CSU8185/2015/USA/CO/FC/NW/unknown/unknown/Mosquito-Culex","FC-037",2015-08-03,"CO/FC/SW","FC-036",NA,"CO/FC/NW",NA,FALSE,1,1,0,0,23,2015,"8",1,"short","short"
"24",2725,2016-08-02,2016-08-02,"CSU9591/2016/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex","FC-041",2016-08-02,"CO/FC/NW","FC-040GR",NA,"CO/FC/NE",NA,FALSE,1,1,0,0,24,2016,"8",1,"short","short"
"25",2744,2016-08-16,2016-08-16,"CSU9876/2016/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex","FC-075",2016-08-16,"CO/FC/SE","FC-074",NA,"CO/FC/SE",NA,TRUE,1,1,0,0,25,2016,"8",1,"short","short"
"26",2819,2015-08-20,2015-08-20,"CSU8495/2015/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex","FC-031",2015-08-20,"CO/FC/SE","FC-029GR",NA,"CO/FC/SE",NA,TRUE,1,1,0,0,26,2015,"8",1,"short","short"
"27",2824,2017-08-14,2017-08-14,"CSU11247/2017/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex","FC-073",2017-08-14,"CO/FC/NW","FC-072",NA,"CO/FC/NE",NA,FALSE,1,1,0,0,27,2017,"8",1,"short","short"
"28",2841,2015-08-24,2015-08-24,"CSU8400/2015/USA/CO/FC/SW/unknown/unknown/Mosquito-Culex","FC-090GR",2015-08-24,"CO/FC/NW","FC-089GR",NA,"CO/FC/SW",NA,FALSE,1,1,0,0,28,2015,"8",1,"short","short"
"29",2866,2018-08-29,2018-08-29,"CSU12726/2018/USA/CO/FC/SW/unknown/unknown/Mosquito-Culex","FC-090GR",2018-08-29,"CO/FC/NW","FC-089GR",NA,"CO/FC/SW",NA,FALSE,1,1,0,0,29,2018,"8",1,"short","short"
"30",2867,2021-08-01,2021-08-01,"CSU16485/2021/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex","LV-074",2021-08-01,"CO/LV/LV","LV-069",NA,"CO/LV/LV",NA,TRUE,1,1,0,0,30,2021,"8",1,"short","short"
"31",2951,2016-08-16,2016-08-16,"CSU9875/2016/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex","FC-089GR",2016-08-16,"CO/FC/SW","FC-088GR",NA,"CO/FC/SE",NA,FALSE,1,1,0,0,31,2016,"8",1,"short","short"
"32",3001,2019-09-01,2019-09-01,"CSU13985/2019/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex","FC-040GR",2019-09-01,"CO/FC/NE","FC-040",NA,"CO/FC/NE",NA,TRUE,1,1,0,0,32,2019,"9",2,"short","short"
"33",3004,2016-08-11,2016-08-11,"CSU9800/2016/USA/CO/FC/SW/unknown/unknown/Mosquito-Culex","FC-090GR",2016-08-11,"CO/FC/NW","FC-089GR",NA,"CO/FC/SW",NA,FALSE,1,1,0,0,33,2016,"8",1,"short","short"
"34",3006,2018-08-29,2018-08-29,"CSU12744/2018/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex","FC-029",2018-08-29,"CO/FC/SE","FC-027",NA,"CO/FC/SE",NA,TRUE,1,1,0,0,34,2018,"8",1,"short","short"
"35",3062,2015-08-31,2015-08-31,"CSU8649/2015/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex","FC-054",2015-08-31,"CO/FC/SE","FC-053",NA,"CO/FC/SE",NA,TRUE,1,1,0,0,35,2015,"8",1,"short","short"
"36",3093,2015-08-17,2015-08-17,"CSU8425/2015/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex","FC-040GR",2015-08-17,"CO/FC/NE","FC-040",NA,"CO/FC/NE",NA,TRUE,1,1,0,0,36,2015,"8",1,"short","short"
"37",3107,2015-08-03,2015-08-03,"CSU8156/2015/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex","FC-036",2015-08-03,"CO/FC/NW","FC-034",NA,"CO/FC/NE",NA,FALSE,1,1,0,0,37,2015,"8",1,"short","short"
"38",3597,2015-08-26,2017-09-06,"NODE_0001346","FC-064",2013-07-19,"CO/FC/SE","FC-063GR",NA,"CO/FC/NW",NA,FALSE,4,4,4.14,2.03,38,2015,"8",1,"long","long"
"39",3605,2014-07-22,2015-07-28,"NODE_0001132","FC-066",2013-06-09,"CO/FC/NE","FC-064",NA,"CO/FC/SE",NA,FALSE,4,4,2.13,1.02,39,2014,"7",0,"long","long"
"40",3611,2014-07-28,2014-08-25,"NODE_0001138","FC-068",2013-07-19,"CO/FC/SW","FC-069",NA,"CO/FC/NE",NA,FALSE,3,3,1.1,0.08,40,2014,"7",0,"long","short"
"41",3636,2018-08-21,2021-08-02,"NODE_0001156","FC-047",2015-07-31,"CO/FC/SE","FC-046",NA,"CO/FC/SE",NA,TRUE,2,2,6.01,2.95,41,2018,"8",1,"long","long"
"42",3637,2013-07-09,2015-08-26,"NODE_0001164","OH",2007-08-09,"OH","LV-089","FC-004","CO/LV/LV","CO/FC/SE",FALSE,63,62,8.05,2.13,42,2013,"7",0,"long","long"
"43",3706,2016-08-16,2018-08-21,"NODE_0001237","OH",2008-06-02,"OH","FC-075GR",NA,"CO/FC/SE",NA,FALSE,8,8,10.22,2.01,43,2016,"8",1,"long","long"
"44",3719,2021-07-26,2021-08-09,"NODE_0001292","OH",2015-07-20,"OH","FC-064",NA,"CO/FC/SE",NA,FALSE,3,3,6.06,0.04,44,2021,"7",0,"long","short"
"45",3725,2015-09-01,2021-08-02,"NODE_0001297","LC-001",2011-04-15,"CO/BE/LC","FC-091GR",NA,"CO/FC/NE",NA,FALSE,9,6,10.31,5.92,45,2015,"9",2,"long","long"
