"","strain","accession","date","year","country","state","CO","division","zone","trap","lineage","sublineage","host"
"34","KU978766/2008/Colombia/COL/ANT/Medellin/NY99/unknown/Bird-other","KU978766",2008-07-15,2008,"Colombia","COL/ANT","Not CO","COL/ANT/Medellin","COL/ANT/Medellin","COL/ANT/Medellin","NY99","unknown","Bird-other"
"35","AF481864/1998/Israel/ISR/D/Eilat/pre-NY/unknown/Bird-other","AF481864",1998-08-28,1998,"Israel","ISR/D","Not CO","ISR/D/Eilat","ISR/D/Eilat","ISR/D/Eilat","pre-NY","unknown","Bird-other"
"36","DQ080060/2004/Mexico/MEX/BCN/Unknown/WN02/unknown/Bird-crow","DQ080060",2004-08-01,2004,"Mexico","MEX/BCN","Not CO","MEX/BCN/Unknown","MEX/BCN/Unknown","MEX/BCN/Unknown","WN02","unknown","Bird-crow"
"37","DQ080063/2003/Mexico/MEX/BCN/Unknown/SW03/unknown/Bird-other","DQ080063",2003-08-01,2003,"Mexico","MEX/BCN","Not CO","MEX/BCN/Unknown","MEX/BCN/Unknown","MEX/BCN/Unknown","SW03","unknown","Bird-other"
"38","DQ080064/2003/Mexico/MEX/BCN/Unknown/SW03/unknown/Bird-other","DQ080064",2003-08-01,2003,"Mexico","MEX/BCN","Not CO","MEX/BCN/Unknown","MEX/BCN/Unknown","MEX/BCN/Unknown","SW03","unknown","Bird-other"
"39","DQ080065/2003/Mexico/MEX/BCN/Unknown/SW03/unknown/Bird-other","DQ080065",2003-08-01,2003,"Mexico","MEX/BCN","Not CO","MEX/BCN/Unknown","MEX/BCN/Unknown","MEX/BCN/Unknown","SW03","unknown","Bird-other"
"40","DQ080066/2003/Mexico/MEX/BCN/Unknown/SW03/unknown/Bird-other","DQ080066",2003-08-01,2003,"Mexico","MEX/BCN","Not CO","MEX/BCN/Unknown","MEX/BCN/Unknown","MEX/BCN/Unknown","SW03","unknown","Bird-other"
"41","DQ080067/2003/Mexico/MEX/BCN/Unknown/SW03/unknown/Bird-other","DQ080067",2003-08-01,2003,"Mexico","MEX/BCN","Not CO","MEX/BCN/Unknown","MEX/BCN/Unknown","MEX/BCN/Unknown","SW03","unknown","Bird-other"
"42","DQ080068/2003/Mexico/MEX/BCN/Unknown/SW03/unknown/Bird-other","DQ080068",2003-08-01,2003,"Mexico","MEX/BCN","Not CO","MEX/BCN/Unknown","MEX/BCN/Unknown","MEX/BCN/Unknown","SW03","unknown","Bird-other"
"43","DQ080069/2003/Mexico/MEX/TAM/Unknown/SW03/unknown/Horse","DQ080069",2003-08-01,2003,"Mexico","MEX/TAM","Not CO","MEX/TAM/Unknown","MEX/TAM/Unknown","MEX/TAM/Unknown","SW03","unknown","Horse"
"44","DQ080070/2003/Mexico/MEX/SON/Unknown/SW03/unknown/Bird-other","DQ080070",2003-08-01,2003,"Mexico","MEX/SON","Not CO","MEX/SON/Unknown","MEX/SON/Unknown","MEX/SON/Unknown","SW03","unknown","Bird-other"
"45","JX015518/2008/Mexico/MEX/CHH/Ciudad_Juarez/SW03/unknown/Mosquito-Culex","JX015518",2008-09-09,2008,"Mexico","MEX/CHH","Not CO","MEX/CHH/Ciudad_Juarez","MEX/CHH/Ciudad_Juarez","MEX/CHH/Ciudad_Juarez","SW03","unknown","Mosquito-Culex"
"46","JX015520/2009/Mexico/MEX/CHH/Ciudad_Juarez/SW03/unknown/Mosquito-Culex","JX015520",2009-08-11,2009,"Mexico","MEX/CHH","Not CO","MEX/CHH/Ciudad_Juarez","MEX/CHH/Ciudad_Juarez","MEX/CHH/Ciudad_Juarez","SW03","unknown","Mosquito-Culex"
"47","AF196835/1999/USA/NY/Bronx/NY99/unknown/Bird-other","AF196835",1999-09-15,1999,"USA","NY","Not CO","NY","NY","NY","NY99","unknown","Bird-other"
"48","AF202541/1999/USA/NY/Madison/NY99/unknown/Human","AF202541",1999-08-28,1999,"USA","NY","Not CO","NY","NY","NY","NY99","unknown","Human"
"49","AF206518/1999/USA/CT/Fairfield/NY99/unknown/Mosquito-Culex","AF206518",1999-09-14,1999,"USA","CT","Not CO","CT","CT","CT","NY99","unknown","Mosquito-Culex"
"50","AF260967/1999/USA/NY/New_York/NY99/unknown/Horse","AF260967",1999-08-01,1999,"USA","NY","Not CO","NY","NY","NY","NY99","unknown","Horse"
"51","AF404753/2000/USA/MD/Baltimore/NY99/unknown/Bird-crow","AF404753",2000-08-01,2000,"USA","MD","Not CO","MD","MD","MD","NY99","unknown","Bird-crow"
"52","AF404754/2000/USA/NJ/Bergen/NY99/unknown/Mosquito-Culex","AF404754",2000-08-01,2000,"USA","NJ","Not CO","NJ/Bergen","NJ/Bergen","NJ/Bergen","NY99","unknown","Mosquito-Culex"
"53","AF404755/2000/USA/NY/Oswego/NY99/unknown/Bird-other","AF404755",2000-08-01,2000,"USA","NY","Not CO","NY","NY","NY","NY99","unknown","Bird-other"
"54","AF404756/2000/USA/NY/Rockland/NY99/unknown/Bird-crow","AF404756",2000-08-01,2000,"USA","NY","Not CO","NY","NY","NY","NY99","unknown","Bird-crow"
"55","AF533540/2001/USA/NY/Nassau/NY99/unknown/Human","AF533540",2001-09-15,2001,"USA","NY","Not CO","NY","NY","NY","NY99","unknown","Human"
"56","AY289214/2002/USA/TX/Jefferson/NY99/unknown/Human","AY289214",2002-08-15,2002,"USA","TX","Not CO","TX/Jefferson","TX/Jefferson","TX/Jefferson","NY99","unknown","Human"
"57","AY646354/2002/USA/NY/Madison/WN02/unknown/Human","AY646354",2002-08-01,2002,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Human"
"58","AY712945/2003/USA/TX/Harris/WN02/unknown/Bird-other","AY712945",2003-08-01,2003,"USA","TX","Not CO","TX/Harris","TX/Harris","TX/Harris","WN02","unknown","Bird-other"
"59","AY712946/2003/USA/TX/Harris/WN02/unknown/Bird-other","AY712946",2003-08-01,2003,"USA","TX","Not CO","TX/Harris","TX/Harris","TX/Harris","WN02","unknown","Bird-other"
"60","AY712947/2003/USA/TX/Harris/WN02/unknown/Bird-other","AY712947",2003-08-01,2003,"USA","TX","Not CO","TX/Harris","TX/Harris","TX/Harris","WN02","unknown","Bird-other"
"61","AY712948/2003/USA/TX/Harris/WN02/unknown/Mosquito-Culex","AY712948",2003-08-01,2003,"USA","TX","Not CO","TX/Harris","TX/Harris","TX/Harris","WN02","unknown","Mosquito-Culex"
"62","AY795965/2002/USA/MI/Isabella/WN02/unknown/Unknown","AY795965",2002-08-01,2002,"USA","MI","Not CO","MI","MI","MI","WN02","unknown","Unknown"
"63","DQ005530/2003/USA/UT/Sanpete/WN02/unknown/Human","DQ005530",2003-08-01,2003,"USA","UT","Not CO","UT/Sanpete","UT/Sanpete","UT/Sanpete","WN02","unknown","Human"
"64","DQ080051/2003/USA/AZ/Cochise/SW03/unknown/Mosquito-Culex","DQ080051",2003-08-01,2003,"USA","AZ","Not CO","AZ/Cochise","AZ/Cochise","AZ/Cochise","SW03","unknown","Mosquito-Culex"
"65","DQ080052/2003/USA/AZ/Maricopoa/SW03/unknown/Mosquito-Culex","DQ080052",2003-08-01,2003,"USA","AZ","Not CO","AZ/Maricopoa","AZ/Maricopoa","AZ/Maricopoa","SW03","unknown","Mosquito-Culex"
"66","DQ080053/2003/USA/AZ/Apache/SW03/unknown/Mosquito-Culex","DQ080053",2003-08-01,2003,"USA","AZ","Not CO","AZ/Apache","AZ/Apache","AZ/Apache","SW03","unknown","Mosquito-Culex"
"67","DQ080054/2003/USA/CA/Los_Angeles/WN02/unknown/Mosquito-Culex","DQ080054",2003-08-01,2003,"USA","CA","Not CO","CA/Los_Angeles","CA/Los_Angeles","CA/Los_Angeles","WN02","unknown","Mosquito-Culex"
"68","DQ080055/2003/USA/CA/Imperial/WN02/unknown/Mosquito-Culex","DQ080055",2003-08-01,2003,"USA","CA","Not CO","CA/Imperial","CA/Imperial","CA/Imperial","WN02","unknown","Mosquito-Culex"
"69","DQ080056/2003/USA/CA/Imperial/WN02/unknown/Mosquito-Culex","DQ080056",2003-08-01,2003,"USA","CA","Not CO","CA/Imperial","CA/Imperial","CA/Imperial","WN02","unknown","Mosquito-Culex"
"70","DQ080057/2003/USA/CA/Los_Angeles/WN02/unknown/Bird-crow","DQ080057",2003-08-01,2003,"USA","CA","Not CO","CA/Los_Angeles","CA/Los_Angeles","CA/Los_Angeles","WN02","unknown","Bird-crow"
"71","DQ080058/2003/USA/CA/Los_Angeles/WN02/unknown/Bird-crow","DQ080058",2003-08-01,2003,"USA","CA","Not CO","CA/Los_Angeles","CA/Los_Angeles","CA/Los_Angeles","WN02","unknown","Bird-crow"
"72","DQ080059/2003/USA/CA/Sacramento/WN02/unknown/Bird-crow","DQ080059",2003-08-01,2003,"USA","CA","Not CO","CA/Sacramento","CA/Sacramento","CA/Sacramento","WN02","unknown","Bird-crow"
"73","DQ080061/2004/USA/LA/Iberia/WN02/unknown/Bird-other","DQ080061",2004-08-01,2004,"USA","LA","Not CO","LA","LA","LA","WN02","unknown","Bird-other"
"74","DQ080062/2002/USA/LA/Iberia/NY99/unknown/Mosquito-other","DQ080062",2002-08-01,2002,"USA","LA","Not CO","LA","LA","LA","NY99","unknown","Mosquito-other"
"75","DQ080071/2002/USA/FL/Sumter/NY99/unknown/Horse","DQ080071",2002-08-01,2002,"USA","FL","Not CO","FL/Sumter","FL/Sumter","FL/Sumter","NY99","unknown","Horse"
"76","DQ080072/2001/USA/FL/Palm_Beach/NY99/unknown/Bird-other","DQ080072",2001-08-01,2001,"USA","FL","Not CO","FL/Palm_Beach","FL/Palm_Beach","FL/Palm_Beach","NY99","unknown","Bird-other"
"77","DQ164186/2002/USA/NY/Queens/WN02/unknown/Bird-crow","DQ164186",2002-08-01,2002,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Bird-crow"
"78","DQ164187/2002/USA/NY/Broome/NY99/unknown/Bird-crow","DQ164187",2002-08-01,2002,"USA","NY","Not CO","NY","NY","NY","NY99","unknown","Bird-crow"
"79","DQ164188/2003/USA/NY/Westchester/NY99/unknown/Bird-crow","DQ164188",2003-08-01,2003,"USA","NY","Not CO","NY","NY","NY","NY99","unknown","Bird-crow"
"80","DQ164189/2003/USA/NY/Albany/WN02/unknown/Bird-crow","DQ164189",2003-08-01,2003,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Bird-crow"
"81","DQ164190/2003/USA/NY/Suffolk/WN02/unknown/Bird-crow","DQ164190",2003-08-01,2003,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Bird-crow"
"82","DQ164191/2003/USA/NY/Chautauqua/WN02/unknown/Bird-crow","DQ164191",2003-08-01,2003,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Bird-crow"
"83","DQ164192/2003/USA/NY/Rockland/NY99/unknown/Bird-crow","DQ164192",2003-08-01,2003,"USA","NY","Not CO","NY","NY","NY","NY99","unknown","Bird-crow"
"84","DQ164193/2002/USA/NY/Clinton/WN02/unknown/Bird-crow","DQ164193",2002-08-01,2002,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Bird-crow"
"85","DQ164194/2001/USA/NY/Suffolk/NY99/unknown/Bird-crow","DQ164194",2001-08-01,2001,"USA","NY","Not CO","NY","NY","NY","NY99","unknown","Bird-crow"
"86","DQ164195/2002/USA/NY/Nassau/WN02/unknown/Mosquito-Culex","DQ164195",2002-08-01,2002,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Mosquito-Culex"
"87","DQ164196/2002/USA/GA/Wilkinson/WN02/unknown/Human","DQ164196",2002-08-01,2002,"USA","GA","Not CO","GA","GA","GA","WN02","unknown","Human"
"88","DQ164197/2002/USA/GA/Wilkinson/WN02/unknown/Human","DQ164197",2002-08-01,2002,"USA","GA","Not CO","GA","GA","GA","WN02","unknown","Human"
"89","DQ164198/2002/USA/TX/Concho/WN02/unknown/Human","DQ164198",2002-08-01,2002,"USA","TX","Not CO","TX/Concho","TX/Concho","TX/Concho","WN02","unknown","Human"
"90","DQ164199/2003/USA/TX/Concho/WN02/unknown/Human","DQ164199",2003-08-01,2003,"USA","TX","Not CO","TX/Concho","TX/Concho","TX/Concho","WN02","unknown","Human"
"91","DQ164200/2002/USA/IN/Hendricks/WN02/unknown/Human","DQ164200",2002-08-01,2002,"USA","IN","Not CO","IN/Hendricks","IN/Hendricks","IN/Hendricks","WN02","unknown","Human"
"92","DQ164201/2004/USA/AZ/Yavapai/SW03/unknown/Human","DQ164201",2004-08-01,2004,"USA","AZ","Not CO","AZ/Yavapai","AZ/Yavapai","AZ/Yavapai","SW03","unknown","Human"
"93","DQ164202/2002/USA/OH/Licking/NY99/unknown/Human","DQ164202",2002-08-01,2002,"USA","OH","Not CO","OH","OH","OH","NY99","unknown","Human"
"94","DQ164203/2003/USA/CO/Park/SW03/unknown/Bird-crow","DQ164203",2003-08-01,2003,"USA","CO","Park","CO/Park","CO/Park","CO/Park","SW03","unknown","Bird-crow"
"95","DQ164204/2003/USA/CO/Park/WN02/unknown/Bird-other","DQ164204",2003-08-01,2003,"USA","CO","Park","CO/Park","CO/Park","CO/Park","WN02","unknown","Bird-other"
"96","DQ164205/2002/USA/TX/Concho/WN02/unknown/Human","DQ164205",2002-08-01,2002,"USA","TX","Not CO","TX/Concho","TX/Concho","TX/Concho","WN02","unknown","Human"
"97","DQ164206/2004/USA/TX/Harris/WN02/unknown/Bird-other","DQ164206",2004-08-01,2004,"USA","TX","Not CO","TX/Harris","TX/Harris","TX/Harris","WN02","unknown","Bird-other"
"98","DQ176637/2002/USA/TX/Hall/WN02/unknown/Bird-other","DQ176637",2002-08-01,2002,"USA","TX","Not CO","TX/Hall","TX/Hall","TX/Hall","WN02","unknown","Bird-other"
"99","DQ431693/2003/USA/TX/Potter/WN02/unknown/Human","DQ431693",2003-08-01,2003,"USA","TX","Not CO","TX/Potter","TX/Potter","TX/Potter","WN02","unknown","Human"
"100","DQ431694/2003/USA/TX/Potter/WN02/unknown/Human","DQ431694",2003-08-01,2003,"USA","TX","Not CO","TX/Potter","TX/Potter","TX/Potter","WN02","unknown","Human"
"101","DQ431695/2003/USA/IL/Cook/WN02/unknown/Human","DQ431695",2003-08-01,2003,"USA","IL","Not CO","IL/Cook","IL/Cook","IL/Cook","WN02","unknown","Human"
"102","DQ431696/2003/USA/WI/Milwaukee/WN02/unknown/Human","DQ431696",2003-08-01,2003,"USA","WI","Not CO","WI","WI","WI","WN02","unknown","Human"
"103","DQ431697/2003/USA/FL/Hillsborough/NY99/unknown/Human","DQ431697",2003-08-01,2003,"USA","FL","Not CO","FL/Hillsborough","FL/Hillsborough","FL/Hillsborough","NY99","unknown","Human"
"104","DQ431698/2003/USA/FL/Hillsborough/WN02/unknown/Human","DQ431698",2003-08-01,2003,"USA","FL","Not CO","FL/Hillsborough","FL/Hillsborough","FL/Hillsborough","WN02","unknown","Human"
"105","DQ431699/2003/USA/FL/Hillsborough/WN02/unknown/Human","DQ431699",2003-08-01,2003,"USA","FL","Not CO","FL/Hillsborough","FL/Hillsborough","FL/Hillsborough","WN02","unknown","Human"
"106","DQ431700/2004/USA/CA/San_Fransisco/WN02/unknown/Human","DQ431700",2004-08-01,2004,"USA","CA","Not CO","CA/San_Fransisco","CA/San_Fransisco","CA/San_Fransisco","WN02","unknown","Human"
"107","DQ431701/2004/USA/CO/Mesa/WN02/unknown/Human","DQ431701",2004-08-01,2004,"USA","CO","Mesa","CO/Mesa","CO/Mesa","CO/Mesa","WN02","unknown","Human"
"108","DQ431702/2004/USA/CO/Mesa/SW03/unknown/Human","DQ431702",2004-08-01,2004,"USA","CO","Mesa","CO/Mesa","CO/Mesa","CO/Mesa","SW03","unknown","Human"
"109","DQ431703/2004/USA/CO/Mesa/WN02/unknown/Human","DQ431703",2004-08-01,2004,"USA","CO","Mesa","CO/Mesa","CO/Mesa","CO/Mesa","WN02","unknown","Human"
"110","DQ431704/2004/USA/CO/Mesa/SW03/unknown/Human","DQ431704",2004-08-01,2004,"USA","CO","Mesa","CO/Mesa","CO/Mesa","CO/Mesa","SW03","unknown","Human"
"111","DQ431705/2004/USA/ND/Burleigh/WN02/unknown/Human","DQ431705",2004-08-01,2004,"USA","ND","Not CO","ND/Burleigh","ND/Burleigh","ND/Burleigh","WN02","unknown","Human"
"112","DQ431706/2004/USA/NM/Bernalillo/SW03/unknown/Human","DQ431706",2004-08-01,2004,"USA","NM","Not CO","NM/Bernalillo","NM/Bernalillo","NM/Bernalillo","SW03","unknown","Human"
"113","DQ431707/2004/USA/NM/Bernalillo/SW03/unknown/Human","DQ431707",2004-08-01,2004,"USA","NM","Not CO","NM/Bernalillo","NM/Bernalillo","NM/Bernalillo","SW03","unknown","Human"
"114","DQ431708/2004/USA/CA/San_Diego/WN02/unknown/Human","DQ431708",2004-07-16,2004,"USA","CA","Not CO","CA/San_Diego","CA/San_Diego","CA/San_Diego","WN02","unknown","Human"
"115","DQ431709/2004/USA/CA/Los_Angeles/WN02/unknown/Human","DQ431709",2004-07-16,2004,"USA","CA","Not CO","CA/Los_Angeles","CA/Los_Angeles","CA/Los_Angeles","WN02","unknown","Human"
"116","DQ431710/2004/USA/CA/Los_Angeles/WN02/unknown/Human","DQ431710",2004-07-31,2004,"USA","CA","Not CO","CA/Los_Angeles","CA/Los_Angeles","CA/Los_Angeles","WN02","unknown","Human"
"117","DQ431711/2004/USA/AZ/Maricopa/SW03/unknown/Human","DQ431711",2004-08-01,2004,"USA","AZ","Not CO","AZ/Maricopa","AZ/Maricopa","AZ/Maricopa","SW03","unknown","Human"
"118","DQ431712/2004/USA/AZ/Maricopa/SW03/unknown/Human","DQ431712",2004-08-01,2004,"USA","AZ","Not CO","AZ/Maricopa","AZ/Maricopa","AZ/Maricopa","SW03","unknown","Human"
"119","DQ666448/2004/USA/AZ/Yavapai/SW03/unknown/Human","DQ666448",2004-08-01,2004,"USA","AZ","Not CO","AZ/Yavapai","AZ/Yavapai","AZ/Yavapai","SW03","unknown","Human"
"120","DQ666449/2005/USA/TX/Concho/SW03/unknown/Human","DQ666449",2005-08-01,2005,"USA","TX","Not CO","TX/Concho","TX/Concho","TX/Concho","SW03","unknown","Human"
"121","DQ666450/2005/USA/TX/Concho/WN02/unknown/Human","DQ666450",2005-08-01,2005,"USA","TX","Not CO","TX/Concho","TX/Concho","TX/Concho","WN02","unknown","Human"
"122","DQ666451/2005/USA/AZ/Yavapai/SW03/unknown/Human","DQ666451",2005-08-01,2005,"USA","AZ","Not CO","AZ/Yavapai","AZ/Yavapai","AZ/Yavapai","SW03","unknown","Human"
"123","DQ666452/2005/USA/SD/Stanley/SW03/unknown/Human","DQ666452",2005-08-01,2005,"USA","SD","Not CO","SD/Stanley","SD/Stanley","SD/Stanley","SW03","unknown","Human"
"124","DQ983578/2003/USA/FL/Indian_River/NY99/unknown/Mosquito-Culex","DQ983578",2003-08-01,2003,"USA","FL","Not CO","FL/Indian_River","FL/Indian_River","FL/Indian_River","NY99","unknown","Mosquito-Culex"
"125","FJ151394/1999/USA/NY/New_York/NY99/unknown/Bird-crow","FJ151394",1999-08-01,1999,"USA","NY","Not CO","NY","NY","NY","NY99","unknown","Bird-crow"
"126","GQ507468/2005/USA/TX/El_Paso/SW03/unknown/Human","GQ507468",2005-08-03,2005,"USA","TX","Not CO","TX/El_Paso","TX/El_Paso","TX/El_Paso","SW03","unknown","Human"
"127","GQ507469/2005/USA/NM/Dona_Ana/SW03/unknown/Human","GQ507469",2005-09-01,2005,"USA","NM","Not CO","NM/Dona_Ana","NM/Dona_Ana","NM/Dona_Ana","SW03","unknown","Human"
"128","GQ507470/2006/USA/TX/El_Paso/SW03/unknown/Human","GQ507470",2006-08-30,2006,"USA","TX","Not CO","TX/El_Paso","TX/El_Paso","TX/El_Paso","SW03","unknown","Human"
