strain	CO	CO_confidence	CO_entropy	country	country_confidence	country_entropy	division	division_confidence	division_entropy	state	state_confidence	state_entropy	trap	trap_confidence	trap_entropy	zone	zone_confidence	zone_entropy	is_terminal	build
NODE_0001493	Not CO	{'Not CO': 0.9999776661193741}	0.00026172723194689725	USA	{'USA': 0.9999997513719154}	4.100589348160532e-06	CA/Sacramento	{'CA/Sacramento': 0.9997083280075358}	0.0030623843547419216	CA	{'CA': 0.9999813296455373}	0.00022956547528574732	CA/Sacramento	{'CA/Sacramento': 0.9997107896409804}	0.0030621991549168517	CA/Sacramento	{'CA/Sacramento': 0.9996203572457351}	0.0038831014002709986	False	wnv
NODE_0001494	Not CO	{'Not CO': 0.999965517029404}	0.00038913075085638066	USA	{'USA': 0.9999996098940146}	6.259023477117836e-06	CA/Sacramento	{'CA/Contra-Costa': 0.0021489601619342005, 'CA/Fresno': 0.005493006518540319, 'CA/Sacramento': 0.9893302862558585, 'CA/Unknown': 0.002493240527942885}	0.07338197243191497	CA	{'CA': 0.9999981698018358}	2.9980340401478622e-05	CA/Sacramento	{'CA/Contra-Costa': 0.0021960346895823096, 'CA/Fresno': 0.005563244117793125, 'CA/Sacramento': 0.9886444806121967, 'CA/Unknown': 0.002892067701015596}	0.07881791351780192	CA/Sacramento	{'CA/Contra-Costa': 0.0023787429107007775, 'CA/Fresno': 0.006084587278852596, 'CA/Sacramento': 0.9881786994338606, 'CA/Unknown': 0.0026640935477386836}	0.08064966154088511	False	wnv
NODE_0001495	Not CO	{'Not CO': 0.9999768770082048}	0.0002701658546963575	USA	{'USA': 0.999999748375997}	4.146456049538284e-06	CA/Sacramento	{'CA/Contra-Costa': 0.01166012475890703, 'CA/Sacramento': 0.9738905560542258, 'CA/Unknown': 0.013830723467399319}	0.14241158411563917	CA	{'CA': 0.9999989505172348}	1.7796725576632255e-05	CA/Sacramento	{'CA/Contra-Costa': 0.011597463030217494, 'CA/Sacramento': 0.9721613100179669, 'CA/Unknown': 0.015616301059873007}	0.149891486373463	CA/Sacramento	{'CA/Contra-Costa': 0.012671090292588488, 'CA/Sacramento': 0.9720044988627796, 'CA/Unknown': 0.014566453012992933}	0.15128764294196628	False	wnv
NODE_0001496	Not CO	{'Not CO': 0.9999781377195741}	0.0002566707567640885	USA	{'USA': 0.9999997531331113}	4.073608663017298e-06	CA/Sacramento	{'CA/Contra-Costa': 0.011203205207193714, 'CA/Sacramento': 0.975291686601437, 'CA/Unknown': 0.01338812470507941}	0.13386660228564687	CA	{'CA': 0.9999989632620209}	1.76032835941726e-05	CA/Sacramento	{'CA/Contra-Costa': 0.011145063686142506, 'CA/Sacramento': 0.9735561693807004, 'CA/Unknown': 0.01517466306823142}	0.14132036717200164	CA/Sacramento	{'CA/Contra-Costa': 0.012131228721135177, 'CA/Sacramento': 0.9736612770734957, 'CA/Unknown': 0.01405155277181122}	0.1412723224440388	False	wnv
NODE_0001497	Not CO	{'Not CO': 0.9999789121576793}	0.00024834505827290735	USA	{'USA': 0.9999997561080899}	4.028002825084213e-06	CA/Sacramento	{'CA/Contra-Costa': 0.3204403167660619, 'CA/Sacramento': 0.3567664276593742, 'CA/Unknown': 0.31606796321695985}	1.160467523631069	CA	{'CA': 0.9999989705350282}	1.749317495395438e-05	CA/Sacramento	{'CA/Contra-Costa': 0.3196527774129997, 'CA/Sacramento': 0.3535569635542058, 'CA/Unknown': 0.31759851848083215}	1.186511716622412	CA/Sacramento	{'CA/Contra-Costa': 0.3228172573749503, 'CA/Sacramento': 0.3534391991647169, 'CA/Unknown': 0.3157374290374721}	1.1718775249710898	False	wnv
NODE_0001498	FoCo	{'FoCo': 0.9997549809334321}	0.002282133876643901	USA	{'USA': 0.9999997531384005}	4.073528079208865e-06	CO/FC	{'CO/FC': 0.9999990030663596}	1.5578152981990396e-05	CO	{'CO': 0.9999944566947122}	7.787138205167923e-05	FC-057	{'FC-027': 0.2395172644910275, 'FC-039': 0.20038858537895193, 'FC-047': 0.10038205030574579, 'FC-057': 0.3186245013954633}	2.0615315095937867	CO/FC/SE	{'CO/FC': 0.0012977791850056178, 'CO/FC/SE': 0.9986129111529861}	0.011063659138572358	False	wnv
NODE_0001499	Not CO	{'Not CO': 0.999978166582275}	0.0002563609827676989	USA	{'USA': 0.9999997531708771}	4.0730314316314165e-06	CA/Sacramento	{'CA/Contra-Costa': 0.011269424802221826, 'CA/Sacramento': 0.9742543813690325, 'CA/Unknown': 0.013490825387270035}	0.14196222675171832	CA	{'CA': 0.9999989633255643}	1.760234566237998e-05	CA/Sacramento	{'CA/Contra-Costa': 0.01122062630601358, 'CA/Sacramento': 0.9725406974132076, 'CA/Unknown': 0.015242126966365689}	0.1495031692300101	CA/Sacramento	{'CA/Contra-Costa': 0.012198666938844726, 'CA/Sacramento': 0.9724512186126265, 'CA/Unknown': 0.014163067236482923}	0.1506696668402398	False	wnv
NODE_0001500	Not CO	{'Not CO': 0.999978913144343}	0.00024833443379293236	USA	{'USA': 0.9999997561085581}	4.027995671810283e-06	CA/Sacramento	{'CA/Contra-Costa': 0.3205103173248956, 'CA/Sacramento': 0.3563908748252497, 'CA/Unknown': 0.3162272998320591}	1.161614046806485	CA	{'CA': 0.9999989705356189}	1.7493166319277334e-05	CA/Sacramento	{'CA/Contra-Costa': 0.319737619001366, 'CA/Sacramento': 0.3531916845320486, 'CA/Unknown': 0.31772639247110984}	1.1877199229444195	CA/Sacramento	{'CA/Contra-Costa': 0.3228925821156193, 'CA/Sacramento': 0.35300504105789643, 'CA/Unknown': 0.3159198089695572}	1.173233446065667	False	wnv
NODE_0001501	FoCo	{'FoCo': 0.9999868060940383}	0.00016144338964554892	USA	{'USA': 0.9999997561081562}	4.028001814531309e-06	CO/FC	{'CO/FC': 0.9999990641043434}	1.4619208921736485e-05	CO	{'CO': 0.9999970143634654}	4.4380589169881744e-05	FC-027	{'FC-027': 0.48214749112338645, 'FC-039': 0.06853911012884684, 'FC-047': 0.28358139358193646, 'FC-057': 0.09135015603019364}	1.6492318613770336	CO/FC/SE	{'CO/FC/SE': 0.9999955441335368}	6.623841878094468e-05	False	wnv
NODE_0001502	Not CO	{'Not CO': 0.9999788690642949}	0.0002488090491783676	USA	{'USA': 0.9999997560495861}	4.028897768770403e-06	CA/Sacramento	{'CA/Contra-Costa': 0.320659049312285, 'CA/Sacramento': 0.35625684434119215, 'CA/Unknown': 0.3162862730104419}	1.1610924505771765	CA	{'CA': 0.9999989704289438}	1.7494748049630613e-05	CA/Sacramento	{'CA/Contra-Costa': 0.31986663784414604, 'CA/Sacramento': 0.35305301969293457, 'CA/Unknown': 0.3178142105601241}	1.1871539455860738	CA/Sacramento	{'CA/Contra-Costa': 0.32307400579715034, 'CA/Sacramento': 0.3528416887092166, 'CA/Unknown': 0.3159899934282924}	1.172615205238384	False	wnv
NODE_0001503	Not CO	{'Not CO': 0.9999764321518885}	0.0002749112324686523	USA	{'USA': 0.9999997464743274}	4.175558864948927e-06	CA/Kern	{'CA/Kern': 0.9932118235918824, 'CA/Los-Angeles': 0.004170758734654228, 'MN': 0.0013945378066343326}	0.05053301041880107	CA	{'CA': 0.9998412283666498}	0.001762014908536105	CA/Kern	{'CA/Kern': 0.9929996180389433, 'CA/Los-Angeles': 0.004164868895065436, 'MN': 0.0014103289486883182}	0.053231997117929045	CA/Kern	{'CA/Kern': 0.991985411617618, 'CA/Los-Angeles': 0.0048386007512422466, 'MN': 0.0016192280198295552}	0.05900001189295927	False	wnv
NODE_0001504	Not CO	{'FoCo': 0.0017848701472225664, 'Not CO': 0.9982150971286016}	0.013079277796547498	USA	{'USA': 0.9999997448561311}	4.200298171680936e-06	NY	{'CO/FC': 0.00847608049707278, 'NY': 0.9913553752595263}	0.05061467214065364	NY	{'CO': 0.024494518225021543, 'NY': 0.9749172752799903}	0.12078603442457717	NY	{'NY': 0.9999887905139627}	0.0001535505850132145	NY	{'CO/FC/SE': 0.007352021646776757, 'NY': 0.9924029986139051}	0.045959937914759455	False	wnv
NODE_0001505	Not CO	{'Not CO': 0.9999780571175018}	0.0002575357064706524	USA	{'USA': 0.9999997527480184}	4.079510993537629e-06	NM/Dona-Ana	{'CA/Kern': 0.17324115222793043, 'CA/Los-Angeles': 0.13349796827206492, 'NM/Dona-Ana': 0.38137988983350213, 'NV/Unknown': 0.14435347871396417}	1.8770883201048578	CA	{'AZ': 0.2022902242041801, 'CA': 0.6031678401734841, 'NM': 0.11992732917580107, 'NV': 0.0709486394032065}	1.1048137725315919	NM/Dona-Ana	{'CA/Kern': 0.16765754384356502, 'CA/Los-Angeles': 0.13086312888068524, 'NM/Dona-Ana': 0.3753654198983838, 'NV/Unknown': 0.1384618765505479}	2.056470534620278	NM/Dona-Ana	{'CA/Kern': 0.16996806589631624, 'CA/Los-Angeles': 0.13216001250805048, 'NM/Dona-Ana': 0.37963095683951154, 'NV/Unknown': 0.1423762347186938}	1.9370377101053233	False	wnv
NODE_0001506	Not CO	{'Not CO': 0.9999778702957521}	0.0002595477204278838	USA	{'USA': 0.999999744010372}	4.21542675682206e-06	NV/Unknown	{'AZ/Unknown': 0.35734906375714254, 'CA/Kern': 0.04801023491153066, 'NM/Dona-Ana': 0.10563063201600692, 'NV/Unknown': 0.41583913125108724}	1.555189325265351	AZ	{'AZ': 0.41942629319884484, 'CA': 0.33809176204088554, 'NM': 0.03376668348048232, 'NV': 0.205473756130881}	1.2016185223066482	NV/Unknown	{'AZ/Unknown': 0.35259822717048883, 'CA/Kern': 0.045696091926816326, 'NM/Dona-Ana': 0.1022295847151352, 'NV/Unknown': 0.4075306758052234}	1.7109891185113533	NV/Unknown	{'AZ/Unknown': 0.35593599881841426, 'CA/Kern': 0.046686477865870595, 'NM/Dona-Ana': 0.10460572739233093, 'NV/Unknown': 0.4128365331195599}	1.604517029913226	False	wnv
NODE_0001507	Not CO	{'Not CO': 0.9999320255348348}	0.000720958382883332	USA	{'USA': 0.999999223523974}	1.1925291264963647e-05	CA/Kern	{'CA/Kern': 0.9893182151390901, 'CA/Los-Angeles': 0.0019079399486094761, 'MN': 0.005985873605810304, 'SD/Unknown': 0.0019472530914965134}	0.07495631896450637	CA	{'CA': 0.9905118791708057, 'MN': 0.0054469293339424, 'SD': 0.003461727151556951}	0.06353273497091032	CA/Kern	{'CA/Kern': 0.9890340436656149, 'CA/Los-Angeles': 0.0019149398587042946, 'MN': 0.00584856539127438, 'SD/Unknown': 0.0020479873380035993}	0.07914200337850172	CA/Kern	{'CA/Kern': 0.9874389545875728, 'CA/Los-Angeles': 0.002224412296467527, 'MN': 0.006840030621879131, 'SD/Unknown': 0.002335619319871086}	0.08731619047324454	False	wnv
NODE_0001508	Not CO	{'Not CO': 0.9999765053743545}	0.0002741313307080657	USA	{'USA': 0.9999997467581307}	4.171217759634247e-06	MN	{'CA/Kern': 0.2323381268457603, 'MN': 0.49213158306188287, 'NY': 0.0011334317103038139, 'SD/Unknown': 0.2619313664446351}	1.1633730716703552	MN	{'CA': 0.19931236898780108, 'MN': 0.4432166488395933, 'NY': 0.0036150918491510637, 'SD': 0.34672143482588835}	1.1299137881693146	MN	{'CA/Kern': 0.22758915559327372, 'MN': 0.4868459112873527, 'NY': 0.0020316052646575386, 'SD/Unknown': 0.26544916089204795}	1.2227871452269403	MN	{'CA/Kern': 0.22863601483816057, 'MN': 0.48972105445475494, 'NY': 0.0015285897614397328, 'SD/Unknown': 0.265203834218287}	1.1864372097706681	False	wnv
NODE_0001509	Not CO	{'Not CO': 0.9999779401427683}	0.00025894870321816914	USA	{'USA': 0.9999997530174042}	4.075377201750338e-06	SD/Unknown	{'SD/Unknown': 0.9987379542901857}	0.0107894598717517	SD	{'MN': 0.0016881406939390508, 'SD': 0.9975471022002514}	0.019682862514556126	SD/Unknown	{'SD/Unknown': 0.998763085485425}	0.010827354983817481	SD/Unknown	{'MN': 0.00114509485891831, 'SD/Unknown': 0.9985140999289367}	0.01255295287957817	False	wnv
NODE_0001510	Not CO	{'Not CO': 0.9999093732289318}	0.0009344966642868265	USA	{'USA': 0.9999997466831761}	4.172354981629836e-06	NY	{'NY': 0.9998811535686134}	0.0012086062407308414	NY	{'CO': 0.0010108212378863112, 'NY': 0.9987852907825939}	0.010013204893343019	NY	{'NY': 0.9999969500258762}	4.785134035518368e-05	NY	{'NY': 0.9999010980185921}	0.0010396332196349555	False	wnv
