strain	CO	CO_confidence	CO_entropy	country	country_confidence	country_entropy	division	division_confidence	division_entropy	state	state_confidence	state_entropy	trap	trap_confidence	trap_entropy	zone	zone_confidence	zone_entropy	is_terminal	build
AF196835/1999/USA/NY/Bronx/NY99/unknown/Bird-other	Not CO	{'Not CO': 1.0}	-1.000088900581841e-12	USA	{'USA': 0.9999999999999999}	-9.99866855976916e-13	NY	{'NY': 1.0}	-1.000088900581841e-12	NY	{'NY': 1.0}	-1.000088900581841e-12	NY	{'NY': 1.0}	-1.000088900581841e-12	NY	{'NY': 0.9999999999999999}	-9.99866855976916e-13	True	wnv
AF202541/1999/USA/NY/Madison/NY99/unknown/Human	Not CO	{'Not CO': 1.0}	-1.000088900581841e-12	USA	{'USA': 1.0}	-1.000088900581841e-12	NY	{'NY': 1.0}	-1.000088900581841e-12	NY	{'NY': 1.0}	-1.000088900581841e-12	NY	{'NY': 1.0}	-1.000088900581841e-12	NY	{'NY': 1.0}	-1.000088900581841e-12	True	wnv
AF206518/1999/USA/CT/Fairfield/NY99/unknown/Mosquito-Culex	Not CO	{'Not CO': 0.9999999999999999}	-9.99866855976916e-13	USA	{'USA': 1.0}	-1.000088900581841e-12	CT	{'CT': 1.0}	-1.000088900581841e-12	CT	{'CT': 1.0}	-1.000088900581841e-12	CT	{'CT': 1.0}	-1.000088900581841e-12	CT	{'CT': 1.0}	-1.000088900581841e-12	True	wnv
AF260967/1999/USA/NY/New-York/NY99/unknown/Horse	Not CO	{'Not CO': 1.0}	-1.000088900581841e-12	USA	{'USA': 0.9999999999999999}	-9.99866855976916e-13	NY	{'NY': 1.0}	-1.000088900581841e-12	NY	{'NY': 0.9999999999999999}	-9.99866855976916e-13	NY	{'NY': 1.0}	-1.000088900581841e-12	NY	{'NY': 1.0}	-1.000088900581841e-12	True	wnv
AF404753/2000/USA/MD/Baltimore/NY99/unknown/Bird-crow	Not CO	{'Not CO': 0.9999999999999999}	-9.99866855976916e-13	USA	{'USA': 1.0}	-1.000088900581841e-12	MD	{'MD': 1.0}	-1.000088900581841e-12	MD	{'MD': 0.9999999999999999}	-9.99866855976916e-13	MD	{'MD': 0.9999999999999999}	-9.99866855976916e-13	MD	{'MD': 0.9999999999999999}	-9.99866855976916e-13	True	wnv
AF404754/2000/USA/NJ/Bergen/NY99/unknown/Mosquito-Culex	Not CO	{'Not CO': 1.0}	-1.000088900581841e-12	USA	{'USA': 1.0}	-1.000088900581841e-12	NJ/Bergen	{'NJ/Bergen': 0.9999999999999999}	-9.99866855976916e-13	NJ	{'NJ': 1.0}	-1.000088900581841e-12	NJ/Bergen	{'NJ/Bergen': 1.0}	-1.000088900581841e-12	NJ/Bergen	{'NJ/Bergen': 1.0}	-1.000088900581841e-12	True	wnv
AF404755/2000/USA/NY/Oswego/NY99/unknown/Bird-other	Not CO	{'Not CO': 1.0}	-1.000088900581841e-12	USA	{'USA': 1.0}	-1.000088900581841e-12	NY	{'NY': 1.0}	-1.000088900581841e-12	NY	{'NY': 0.9999999999999999}	-9.99866855976916e-13	NY	{'NY': 1.0}	-1.000088900581841e-12	NY	{'NY': 0.9999999999999999}	-9.99866855976916e-13	True	wnv
AF404756/2000/USA/NY/Rockland/NY99/unknown/Bird-crow	Not CO	{'Not CO': 1.0}	-1.000088900581841e-12	USA	{'USA': 1.0}	-1.000088900581841e-12	NY	{'NY': 1.0}	-1.000088900581841e-12	NY	{'NY': 1.0}	-1.000088900581841e-12	NY	{'NY': 1.0}	-1.000088900581841e-12	NY	{'NY': 0.9999999999999999}	-9.99866855976916e-13	True	wnv
AF481864/1998/Israel/ISR/D/Eilat/pre-NY/unknown/Bird-other	Not CO	{'Not CO': 1.0}	-1.000088900581841e-12	Israel	{'Israel': 1.0}	-1.000088900581841e-12	ISR/D/Eilat	{'ISR/D/Eilat': 1.0}	-1.000088900581841e-12	ISR/D	{'ISR/D': 1.0}	-1.000088900581841e-12	ISR/D/Eilat	{'ISR/D/Eilat': 1.0}	-1.000088900581841e-12	ISR/D/Eilat	{'ISR/D/Eilat': 1.0}	-1.000088900581841e-12	True	wnv
AF533540/2001/USA/NY/Nassau/NY99/unknown/Human	Not CO	{'Not CO': 1.0}	-1.000088900581841e-12	USA	{'USA': 1.0}	-1.000088900581841e-12	NY	{'NY': 1.0}	-1.000088900581841e-12	NY	{'NY': 1.0}	-1.000088900581841e-12	NY	{'NY': 1.0}	-1.000088900581841e-12	NY	{'NY': 0.9999999999999999}	-9.99866855976916e-13	True	wnv
AY289214/2002/USA/TX/Jefferson/NY99/unknown/Human	Not CO	{'Not CO': 0.9999999999999999}	-9.99866855976916e-13	USA	{'USA': 1.0}	-1.000088900581841e-12	TX/Jefferson	{'TX/Jefferson': 1.0}	-1.000088900581841e-12	TX	{'TX': 1.0}	-1.000088900581841e-12	TX/Jefferson	{'TX/Jefferson': 1.0}	-1.000088900581841e-12	TX/Jefferson	{'TX/Jefferson': 1.0}	-1.000088900581841e-12	True	wnv
AY646354/2002/USA/NY/Madison/WN02/unknown/Human	Not CO	{'Not CO': 1.0}	-1.000088900581841e-12	USA	{'USA': 1.0}	-1.000088900581841e-12	NY	{'NY': 1.0}	-1.000088900581841e-12	NY	{'NY': 1.0}	-1.000088900581841e-12	NY	{'NY': 1.0}	-1.000088900581841e-12	NY	{'NY': 1.0}	-1.000088900581841e-12	True	wnv
AY712945/2003/USA/TX/Harris/WN02/unknown/Bird-other	Not CO	{'Not CO': 1.0}	-1.000088900581841e-12	USA	{'USA': 1.0}	-1.000088900581841e-12	TX/Harris	{'TX/Harris': 1.0}	-1.000088900581841e-12	TX	{'TX': 1.0}	-1.000088900581841e-12	TX/Harris	{'TX/Harris': 1.0}	-1.000088900581841e-12	TX/Harris	{'TX/Harris': 0.9999999999999999}	-9.99866855976916e-13	True	wnv
AY712946/2003/USA/TX/Harris/WN02/unknown/Bird-other	Not CO	{'Not CO': 1.0}	-1.000088900581841e-12	USA	{'USA': 1.0}	-1.000088900581841e-12	TX/Harris	{'TX/Harris': 1.0}	-1.000088900581841e-12	TX	{'TX': 1.0}	-1.000088900581841e-12	TX/Harris	{'TX/Harris': 1.0}	-1.000088900581841e-12	TX/Harris	{'TX/Harris': 0.9999999999999999}	-9.99866855976916e-13	True	wnv
AY712947/2003/USA/TX/Harris/WN02/unknown/Bird-other	Not CO	{'Not CO': 1.0}	-1.000088900581841e-12	USA	{'USA': 1.0}	-1.000088900581841e-12	TX/Harris	{'TX/Harris': 1.0}	-1.000088900581841e-12	TX	{'TX': 1.0}	-1.000088900581841e-12	TX/Harris	{'TX/Harris': 1.0}	-1.000088900581841e-12	TX/Harris	{'TX/Harris': 0.9999999999999999}	-9.99866855976916e-13	True	wnv
AY712948/2003/USA/TX/Harris/WN02/unknown/Mosquito-Culex	Not CO	{'Not CO': 1.0}	-1.000088900581841e-12	USA	{'USA': 1.0}	-1.000088900581841e-12	TX/Harris	{'TX/Harris': 1.0}	-1.000088900581841e-12	TX	{'TX': 1.0}	-1.000088900581841e-12	TX/Harris	{'TX/Harris': 1.0}	-1.000088900581841e-12	TX/Harris	{'TX/Harris': 1.0}	-1.000088900581841e-12	True	wnv
AY795965/2002/USA/MI/Isabella/WN02/unknown/Unknown	Not CO	{'Not CO': 1.0}	-1.000088900581841e-12	USA	{'USA': 1.0}	-1.000088900581841e-12	MI	{'MI': 1.0}	-1.000088900581841e-12	MI	{'MI': 1.0}	-1.000088900581841e-12	MI	{'MI': 1.0}	-1.000088900581841e-12	MI	{'MI': 1.0}	-1.000088900581841e-12	True	wnv
BOU00025/2021/USA/CO/Boulder/unknown/unknown/Mosquito-Culex	Boulder	{'Boulder': 1.0}	-1.000088900581841e-12	USA	{'USA': 0.9999999999999999}	-9.99866855976916e-13	CO/Boulder	{'CO/Boulder': 1.0}	-1.000088900581841e-12	CO	{'CO': 1.0}	-1.000088900581841e-12	CO/Boulder	{'CO/Boulder': 1.0}	-1.000088900581841e-12	CO/Boulder	{'CO/Boulder': 1.0}	-1.000088900581841e-12	True	wnv
BOU00038/2021/USA/CO/Boulder/unknown/unknown/Mosquito-Culex	Boulder	{'Boulder': 1.0}	-1.000088900581841e-12	USA	{'USA': 0.9999999999999999}	-9.99866855976916e-13	CO/Boulder	{'CO/Boulder': 1.0}	-1.000088900581841e-12	CO	{'CO': 1.0}	-1.000088900581841e-12	CO/Boulder	{'CO/Boulder': 0.9999999999999999}	-9.99866855976916e-13	CO/Boulder	{'CO/Boulder': 1.0}	-1.000088900581841e-12	True	wnv
CSU10000/2016/USA/CO/FC/NW/unknown/unknown/Mosquito-Culex	FoCo	{'FoCo': 0.9999999999999999}	-9.99866855976916e-13	USA	{'USA': 0.9999999999999999}	-9.99866855976916e-13	CO/FC	{'CO/FC': 1.0}	-1.000088900581841e-12	CO	{'CO': 1.0}	-1.000088900581841e-12	FC-090GR	{'FC-090GR': 1.0}	-1.000088900581841e-12	CO/FC/NW	{'CO/FC/NW': 1.0}	-1.000088900581841e-12	True	wnv
CSU10001/2016/USA/CO/FC/NW/unknown/unknown/Mosquito-Culex	FoCo	{'FoCo': 1.0}	-1.000088900581841e-12	USA	{'USA': 1.0}	-1.000088900581841e-12	CO/FC	{'CO/FC': 0.9999999999999999}	-9.99866855976916e-13	CO	{'CO': 1.0}	-1.000088900581841e-12	FC-090GR	{'FC-090GR': 1.0}	-1.000088900581841e-12	CO/FC/NW	{'CO/FC/NW': 1.0}	-1.000088900581841e-12	True	wnv
CSU10006/2016/USA/CO/FC/NW/unknown/unknown/Mosquito-Culex	FoCo	{'FoCo': 1.0}	-1.000088900581841e-12	USA	{'USA': 1.0}	-1.000088900581841e-12	CO/FC	{'CO/FC': 0.9999999999999999}	-9.99866855976916e-13	CO	{'CO': 1.0}	-1.000088900581841e-12	FC-063GR	{'FC-063GR': 1.0}	-1.000088900581841e-12	CO/FC/NW	{'CO/FC/NW': 1.0}	-1.000088900581841e-12	True	wnv
CSU10224/2016/USA/CO/FC/NW/unknown/unknown/Mosquito-Culex	FoCo	{'FoCo': 1.0}	-1.000088900581841e-12	USA	{'USA': 1.0}	-1.000088900581841e-12	CO/FC	{'CO/FC': 1.0}	-1.000088900581841e-12	CO	{'CO': 1.0}	-1.000088900581841e-12	FC-090GR	{'FC-090GR': 1.0}	-1.000088900581841e-12	CO/FC/NW	{'CO/FC/NW': 1.0}	-1.000088900581841e-12	True	wnv
CSU10610/2017/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex	FoCo	{'FoCo': 1.0}	-1.000088900581841e-12	USA	{'USA': 1.0}	-1.000088900581841e-12	CO/FC	{'CO/FC': 0.9999999999999999}	-9.99866855976916e-13	CO	{'CO': 1.0}	-1.000088900581841e-12	FC-053	{'FC-053': 1.0}	-1.000088900581841e-12	CO/FC/SE	{'CO/FC/SE': 1.0}	-1.000088900581841e-12	True	wnv
CSU10613/2017/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex	FoCo	{'FoCo': 1.0}	-1.000088900581841e-12	USA	{'USA': 1.0}	-1.000088900581841e-12	CO/FC	{'CO/FC': 0.9999999999999999}	-9.99866855976916e-13	CO	{'CO': 1.0}	-1.000088900581841e-12	FC-053	{'FC-053': 1.0}	-1.000088900581841e-12	CO/FC/SE	{'CO/FC/SE': 1.0}	-1.000088900581841e-12	True	wnv
CSU10669/2017/USA/CO/BE/BE/unknown/unknown/Mosquito-Culex	FoCo	{'FoCo': 1.0}	-1.000088900581841e-12	USA	{'USA': 1.0}	-1.000088900581841e-12	CO/BE	{'CO/BE': 0.9999999999999999}	-9.99866855976916e-13	CO	{'CO': 1.0}	-1.000088900581841e-12	LC-053	{'LC-053': 1.0}	-1.000088900581841e-12	CO/BE/BE	{'CO/BE/BE': 0.9999999999999999}	-9.99866855976916e-13	True	wnv
CSU10672/2017/USA/CO/BE/BE/unknown/unknown/Mosquito-Culex	FoCo	{'FoCo': 0.9999999999999999}	-9.99866855976916e-13	USA	{'USA': 1.0}	-1.000088900581841e-12	CO/BE	{'CO/BE': 1.0}	-1.000088900581841e-12	CO	{'CO': 0.9999999999999999}	-9.99866855976916e-13	LC-053	{'LC-053': 1.0}	-1.000088900581841e-12	CO/BE/BE	{'CO/BE/BE': 1.0}	-1.000088900581841e-12	True	wnv
CSU10710/2017/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex	FoCo	{'FoCo': 1.0}	-1.000088900581841e-12	USA	{'USA': 1.0}	-1.000088900581841e-12	CO/FC	{'CO/FC': 1.0}	-1.000088900581841e-12	CO	{'CO': 1.0}	-1.000088900581841e-12	FC-040GR	{'FC-040GR': 1.0}	-1.000088900581841e-12	CO/FC/NE	{'CO/FC/NE': 1.0}	-1.000088900581841e-12	True	wnv
CSU10766/2017/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex	FoCo	{'FoCo': 1.0}	-1.000088900581841e-12	USA	{'USA': 1.0}	-1.000088900581841e-12	CO/FC	{'CO/FC': 0.9999999999999999}	-9.99866855976916e-13	CO	{'CO': 1.0}	-1.000088900581841e-12	FC-053	{'FC-053': 1.0}	-1.000088900581841e-12	CO/FC/SE	{'CO/FC/SE': 1.0}	-1.000088900581841e-12	True	wnv
CSU10774/2017/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex	FoCo	{'FoCo': 1.0}	-1.000088900581841e-12	USA	{'USA': 1.0}	-1.000088900581841e-12	CO/FC	{'CO/FC': 0.9999999999999999}	-9.99866855976916e-13	CO	{'CO': 0.9999999999999999}	-9.99866855976916e-13	FC-004	{'FC-004': 1.0}	-1.000088900581841e-12	CO/FC/SE	{'CO/FC/SE': 0.9999999999999999}	-9.99866855976916e-13	True	wnv
CSU10804/2017/USA/CO/BE/BE/unknown/unknown/Mosquito-Culex	FoCo	{'FoCo': 1.0}	-1.000088900581841e-12	USA	{'USA': 1.0}	-1.000088900581841e-12	CO/BE	{'CO/BE': 0.9999999999999999}	-9.99866855976916e-13	CO	{'CO': 1.0}	-1.000088900581841e-12	LC-054	{'LC-054': 1.0}	-1.000088900581841e-12	CO/BE/BE	{'CO/BE/BE': 1.0}	-1.000088900581841e-12	True	wnv
CSU10808/2017/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex	FoCo	{'FoCo': 1.0}	-1.000088900581841e-12	USA	{'USA': 1.0}	-1.000088900581841e-12	CO/LV	{'CO/LV': 1.0}	-1.000088900581841e-12	CO	{'CO': 1.0}	-1.000088900581841e-12	LV-020	{'LV-020': 1.0}	-1.000088900581841e-12	CO/LV/LV	{'CO/LV/LV': 0.9999999999999999}	-9.99866855976916e-13	True	wnv
CSU10812/2017/USA/CO/BE/BE/unknown/unknown/Mosquito-Culex	FoCo	{'FoCo': 1.0}	-1.000088900581841e-12	USA	{'USA': 1.0}	-1.000088900581841e-12	CO/BE	{'CO/BE': 0.9999999999999999}	-9.99866855976916e-13	CO	{'CO': 1.0}	-1.000088900581841e-12	LC-001	{'LC-001': 1.0}	-1.000088900581841e-12	CO/BE/BE	{'CO/BE/BE': 0.9999999999999999}	-9.99866855976916e-13	True	wnv
CSU10879/2017/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex	FoCo	{'FoCo': 0.9999999999999999}	-9.99866855976916e-13	USA	{'USA': 1.0}	-1.000088900581841e-12	CO/LV	{'CO/LV': 1.0}	-1.000088900581841e-12	CO	{'CO': 1.0}	-1.000088900581841e-12	LV-095	{'LV-095': 1.0}	-1.000088900581841e-12	CO/LV/LV	{'CO/LV/LV': 1.0}	-1.000088900581841e-12	True	wnv
CSU10888/2017/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex	FoCo	{'FoCo': 1.0}	-1.000088900581841e-12	USA	{'USA': 1.0}	-1.000088900581841e-12	CO/FC	{'CO/FC': 1.0}	-1.000088900581841e-12	CO	{'CO': 1.0}	-1.000088900581841e-12	FC-092GR	{'FC-092GR': 1.0}	-1.000088900581841e-12	CO/FC/NE	{'CO/FC/NE': 1.0}	-1.000088900581841e-12	True	wnv
CSU10892/2017/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex	FoCo	{'FoCo': 1.0}	-1.000088900581841e-12	USA	{'USA': 0.9999999999999999}	-9.99866855976916e-13	CO/FC	{'CO/FC': 1.0}	-1.000088900581841e-12	CO	{'CO': 1.0}	-1.000088900581841e-12	FC-072	{'FC-072': 1.0}	-1.000088900581841e-12	CO/FC/NE	{'CO/FC/NE': 0.9999999999999999}	-9.99866855976916e-13	True	wnv
CSU10911/2017/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex	FoCo	{'FoCo': 1.0}	-1.000088900581841e-12	USA	{'USA': 1.0}	-1.000088900581841e-12	CO/FC	{'CO/FC': 1.0}	-1.000088900581841e-12	CO	{'CO': 1.0}	-1.000088900581841e-12	FC-031	{'FC-031': 1.0}	-1.000088900581841e-12	CO/FC/SE	{'CO/FC/SE': 1.0}	-1.000088900581841e-12	True	wnv
CSU10938/2017/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex	FoCo	{'FoCo': 1.0}	-1.000088900581841e-12	USA	{'USA': 0.9999999999999999}	-9.99866855976916e-13	CO/FC	{'CO/FC': 1.0}	-1.000088900581841e-12	CO	{'CO': 1.0}	-1.000088900581841e-12	FC-088GR	{'FC-088GR': 1.0}	-1.000088900581841e-12	CO/FC/SE	{'CO/FC/SE': 1.0}	-1.000088900581841e-12	True	wnv
CSU10968/2017/USA/CO/FC/NW/unknown/unknown/Mosquito-Culex	FoCo	{'FoCo': 1.0}	-1.000088900581841e-12	USA	{'USA': 1.0}	-1.000088900581841e-12	CO/FC	{'CO/FC': 1.0}	-1.000088900581841e-12	CO	{'CO': 1.0}	-1.000088900581841e-12	FC-041	{'FC-041': 1.0}	-1.000088900581841e-12	CO/FC/NW	{'CO/FC/NW': 1.0}	-1.000088900581841e-12	True	wnv
CSU11010/2017/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex	FoCo	{'FoCo': 1.0}	-1.000088900581841e-12	USA	{'USA': 1.0}	-1.000088900581841e-12	CO/FC	{'CO/FC': 1.0}	-1.000088900581841e-12	CO	{'CO': 0.9999999999999999}	-9.99866855976916e-13	FC-067	{'FC-067': 1.0}	-1.000088900581841e-12	CO/FC/NE	{'CO/FC/NE': 0.9999999999999999}	-9.99866855976916e-13	True	wnv
CSU11025/2017/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex	FoCo	{'FoCo': 1.0}	-1.000088900581841e-12	USA	{'USA': 1.0}	-1.000088900581841e-12	CO/FC	{'CO/FC': 1.0}	-1.000088900581841e-12	CO	{'CO': 1.0}	-1.000088900581841e-12	FC-092GR	{'FC-092GR': 1.0}	-1.000088900581841e-12	CO/FC/NE	{'CO/FC/NE': 1.0}	-1.000088900581841e-12	True	wnv
CSU11045/2017/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex	FoCo	{'FoCo': 1.0}	-1.000088900581841e-12	USA	{'USA': 1.0}	-1.000088900581841e-12	CO/FC	{'CO/FC': 1.0}	-1.000088900581841e-12	CO	{'CO': 1.0}	-1.000088900581841e-12	FC-039	{'FC-039': 1.0}	-1.000088900581841e-12	CO/FC/SE	{'CO/FC/SE': 1.0}	-1.000088900581841e-12	True	wnv
CSU11046/2017/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex	FoCo	{'FoCo': 1.0}	-1.000088900581841e-12	USA	{'USA': 1.0}	-1.000088900581841e-12	CO/FC	{'CO/FC': 1.0}	-1.000088900581841e-12	CO	{'CO': 1.0}	-1.000088900581841e-12	FC-064	{'FC-064': 1.0}	-1.000088900581841e-12	CO/FC/SE	{'CO/FC/SE': 1.0}	-1.000088900581841e-12	True	wnv
CSU11049/2017/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex	FoCo	{'FoCo': 1.0}	-1.000088900581841e-12	USA	{'USA': 0.9999999999999999}	-9.99866855976916e-13	CO/FC	{'CO/FC': 1.0}	-1.000088900581841e-12	CO	{'CO': 1.0}	-1.000088900581841e-12	FC-031	{'FC-031': 1.0}	-1.000088900581841e-12	CO/FC/SE	{'CO/FC/SE': 1.0}	-1.000088900581841e-12	True	wnv
CSU11071/2017/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex	FoCo	{'FoCo': 1.0}	-1.000088900581841e-12	USA	{'USA': 1.0}	-1.000088900581841e-12	CO/FC	{'CO/FC': 1.0}	-1.000088900581841e-12	CO	{'CO': 1.0}	-1.000088900581841e-12	FC-088GR	{'FC-088GR': 1.0}	-1.000088900581841e-12	CO/FC/SE	{'CO/FC/SE': 1.0}	-1.000088900581841e-12	True	wnv
CSU11072/2017/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex	FoCo	{'FoCo': 1.0}	-1.000088900581841e-12	USA	{'USA': 1.0}	-1.000088900581841e-12	CO/FC	{'CO/FC': 0.9999999999999999}	-9.99866855976916e-13	CO	{'CO': 1.0}	-1.000088900581841e-12	FC-088GR	{'FC-088GR': 1.0}	-1.000088900581841e-12	CO/FC/SE	{'CO/FC/SE': 1.0}	-1.000088900581841e-12	True	wnv
CSU11073/2017/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex	FoCo	{'FoCo': 1.0}	-1.000088900581841e-12	USA	{'USA': 0.9999999999999999}	-9.99866855976916e-13	CO/FC	{'CO/FC': 1.0}	-1.000088900581841e-12	CO	{'CO': 1.0}	-1.000088900581841e-12	FC-088GR	{'FC-088GR': 0.9999999999999999}	-9.99866855976916e-13	CO/FC/SE	{'CO/FC/SE': 1.0}	-1.000088900581841e-12	True	wnv
CSU11076/2017/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex	FoCo	{'FoCo': 1.0}	-1.000088900581841e-12	USA	{'USA': 1.0}	-1.000088900581841e-12	CO/FC	{'CO/FC': 0.9999999999999999}	-9.99866855976916e-13	CO	{'CO': 1.0}	-1.000088900581841e-12	FC-088GR	{'FC-088GR': 1.0}	-1.000088900581841e-12	CO/FC/SE	{'CO/FC/SE': 1.0}	-1.000088900581841e-12	True	wnv
CSU11080/2017/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex	FoCo	{'FoCo': 1.0}	-1.000088900581841e-12	USA	{'USA': 1.0}	-1.000088900581841e-12	CO/FC	{'CO/FC': 1.0}	-1.000088900581841e-12	CO	{'CO': 0.9999999999999999}	-9.99866855976916e-13	FC-027	{'FC-027': 1.0}	-1.000088900581841e-12	CO/FC/SE	{'CO/FC/SE': 1.0}	-1.000088900581841e-12	True	wnv
CSU11099/2017/USA/CO/FC/NW/unknown/unknown/Mosquito-Culex	FoCo	{'FoCo': 1.0}	-1.000088900581841e-12	USA	{'USA': 0.9999999999999999}	-9.99866855976916e-13	CO/FC	{'CO/FC': 1.0}	-1.000088900581841e-12	CO	{'CO': 1.0}	-1.000088900581841e-12	FC-060	{'FC-060': 1.0}	-1.000088900581841e-12	CO/FC/NW	{'CO/FC/NW': 1.0}	-1.000088900581841e-12	True	wnv
CSU11116/2017/USA/CO/FC/SW/unknown/unknown/Mosquito-Culex	FoCo	{'FoCo': 1.0}	-1.000088900581841e-12	USA	{'USA': 1.0}	-1.000088900581841e-12	CO/FC	{'CO/FC': 1.0}	-1.000088900581841e-12	CO	{'CO': 1.0}	-1.000088900581841e-12	FC-001	{'FC-001': 0.9999999999999999}	-9.99866855976916e-13	CO/FC/SW	{'CO/FC/SW': 1.0}	-1.000088900581841e-12	True	wnv
CSU11135/2017/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex	FoCo	{'FoCo': 1.0}	-1.000088900581841e-12	USA	{'USA': 0.9999999999999999}	-9.99866855976916e-13	CO/FC	{'CO/FC': 0.9999999999999999}	-9.99866855976916e-13	CO	{'CO': 1.0}	-1.000088900581841e-12	FC-038	{'FC-038': 1.0}	-1.000088900581841e-12	CO/FC/NE	{'CO/FC/NE': 1.0}	-1.000088900581841e-12	True	wnv
CSU11165/2017/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex	FoCo	{'FoCo': 1.0}	-1.000088900581841e-12	USA	{'USA': 1.0}	-1.000088900581841e-12	CO/FC	{'CO/FC': 1.0}	-1.000088900581841e-12	CO	{'CO': 0.9999999999999999}	-9.99866855976916e-13	FC-039	{'FC-039': 1.0}	-1.000088900581841e-12	CO/FC/SE	{'CO/FC/SE': 1.0}	-1.000088900581841e-12	True	wnv
CSU11175/2017/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex	FoCo	{'FoCo': 1.0}	-1.000088900581841e-12	USA	{'USA': 1.0}	-1.000088900581841e-12	CO/FC	{'CO/FC': 1.0}	-1.000088900581841e-12	CO	{'CO': 0.9999999999999999}	-9.99866855976916e-13	FC-088GR	{'FC-088GR': 0.9999999999999999}	-9.99866855976916e-13	CO/FC/SE	{'CO/FC/SE': 1.0}	-1.000088900581841e-12	True	wnv
CSU11217/2017/USA/CO/FC/SW/unknown/unknown/Mosquito-Culex	FoCo	{'FoCo': 1.0}	-1.000088900581841e-12	USA	{'USA': 0.9999999999999999}	-9.99866855976916e-13	CO/FC	{'CO/FC': 1.0}	-1.000088900581841e-12	CO	{'CO': 1.0}	-1.000088900581841e-12	FC-093	{'FC-093': 1.0}	-1.000088900581841e-12	CO/FC/SW	{'CO/FC/SW': 0.9999999999999999}	-9.99866855976916e-13	True	wnv
CSU11225/2017/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex	FoCo	{'FoCo': 1.0}	-1.000088900581841e-12	USA	{'USA': 1.0}	-1.000088900581841e-12	CO/LV	{'CO/LV': 1.0}	-1.000088900581841e-12	CO	{'CO': 0.9999999999999999}	-9.99866855976916e-13	LV-069	{'LV-069': 1.0}	-1.000088900581841e-12	CO/LV/LV	{'CO/LV/LV': 1.0}	-1.000088900581841e-12	True	wnv
CSU11241/2017/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex	FoCo	{'FoCo': 1.0}	-1.000088900581841e-12	USA	{'USA': 0.9999999999999999}	-9.99866855976916e-13	CO/FC	{'CO/FC': 1.0}	-1.000088900581841e-12	CO	{'CO': 0.9999999999999999}	-9.99866855976916e-13	FC-040GR	{'FC-040GR': 1.0}	-1.000088900581841e-12	CO/FC/NE	{'CO/FC/NE': 1.0}	-1.000088900581841e-12	True	wnv
CSU11247/2017/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex	FoCo	{'FoCo': 1.0}	-1.000088900581841e-12	USA	{'USA': 1.0}	-1.000088900581841e-12	CO/FC	{'CO/FC': 1.0}	-1.000088900581841e-12	CO	{'CO': 1.0}	-1.000088900581841e-12	FC-072	{'FC-072': 1.0}	-1.000088900581841e-12	CO/FC/NE	{'CO/FC/NE': 1.0}	-1.000088900581841e-12	True	wnv
CSU11262/2017/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex	FoCo	{'FoCo': 1.0}	-1.000088900581841e-12	USA	{'USA': 1.0}	-1.000088900581841e-12	CO/FC	{'CO/FC': 1.0}	-1.000088900581841e-12	CO	{'CO': 1.0}	-1.000088900581841e-12	FC-088GR	{'FC-088GR': 0.9999999999999999}	-9.99866855976916e-13	CO/FC/SE	{'CO/FC/SE': 1.0}	-1.000088900581841e-12	True	wnv
CSU11264/2017/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex	FoCo	{'FoCo': 1.0}	-1.000088900581841e-12	USA	{'USA': 1.0}	-1.000088900581841e-12	CO/FC	{'CO/FC': 1.0}	-1.000088900581841e-12	CO	{'CO': 1.0}	-1.000088900581841e-12	FC-075GR	{'FC-075GR': 1.0}	-1.000088900581841e-12	CO/FC/SE	{'CO/FC/SE': 1.0}	-1.000088900581841e-12	True	wnv
