"state","CO","#FCCDE5"
"state","ARG/B","#F0027F"
"state","BRA/ES","#DECBE4"
"state","VGB","#666666"
"state","CAN/QC","#A6CEE3"
"state","COL/ANT","#F4CAE4"
"state","ISR/D","#FF7F00"
"state","MEX/BCN","#BEBADA"
"state","MEX/TAM","#FDC086"
"state","MEX/SON","#FDB462"
"state","MEX/CHH","#FFFF33"
"state","NY","#66C2A5"
"state","CT","#D9D9D9"
"state","MD","#FDCDAC"
"state","NJ","#FED9A6"
"state","TX","#999999"
"state","MI","#B3DE69"
"state","UT","#4DAF4A"
"state","AZ","#FDDAEC"
"state","CA","#FFF2AE"
"state","LA","#B3E2CD"
"state","FL","#E78AC3"
"state","GA","#E41A1C"
"state","IN","#CBD5E8"
"state","OH","#666666"
"state","IL","#CCCCCC"
"state","WI","#A65628"
"state","ND","#80B1D3"
"state","NM","#CCEBC5"
"state","SD","#B2DF8A"
"state","NE","#1B9E77"
"state","ID","#B3B3B3"
"state","NC","#8DA0CB"
"state","NV","#B3CDE3"
"state","MS","#BEAED4"
"state","AR","#1F78B4"
"state","MN","#FB8072"
"state","MO","#A6D854"
"state","MT","#7FC97F"
"state","WA","#FDBF6F"
"state","PA","#A6761D"
"state","TN","#FFD92F"
"state","AL","#E5C494"
"state","DC","#8DD3C7"
"state","KS","#FFFF99"
"state","KY","#66A61E"
"state","VA","#386CB0"
"state","OK","#FFFFB3"
"state","MA","#FB9A99"
"state","IA","#E31A1C"
"state","WY","#FBB4AE"
"state","OR","#BF5B17"
"state","NH","#BC80BD"
"state","US-VI","#E6F5C9"
