continent	Europe	#ff933b
continent	North America	#4671eb
continent	South America	#f83628
continent	Africa	#54a0db
continent	Asia	#bcd661
continent	Oceania	#84ce92
lineage	1a	#4671eb
lineage	2	#ff933b
lineage	4	#f0c847
lineage	1c_5	#bcd661
lineage	7_koutango	#54a0db
lineage	8	#8f6ac0
lineage	1b_kunjin	#84ce92
lineage	3_rabensburg	#f83628
lineage	usutu	#8f6ac0
country	USA	#000C66
country	Egypt	#FFFFCC
country	Romania	#7570B3
country	Israel	#FCCDE5
country	Portugal	#FFD92F
country	Kenya	#FDCDAC
country	France	#984EA3
country	Tunisia	#B3B3B3
country	Russia	#99004d
country	Uganda	#BC80BD
country	Morocco	#BE2114
country	Mexico	#66A61E
country	Hungary	#66C2A5
country	Madagascar	#FF7F00
country	India	#F2F2F2
country	Senegal	#6A3D9A
country	Central African Republic	#A6D854
country	South Africa	#4DAF4A
country	Italy	#00b300
country	Spain	#008080
country	Argentina	#FFFF99
country	Australia	#CAB2D6
country	Nigeria	#B3E2CD
country	Cyprus	#A6CEE3
country	Democratic Republic of the Congo	#FF7F00
country	Greece	#0000ff
country	Colombia	#CCCCCC
country	Azerbaijan	#E41A1C
country	Ukraine	#B3CDE3
country	China	#FDB462
country	Serbia	#ffd700
country	Austria	#E31A1C
country	British Virgin Islands	#DECBE4
country	Turkey	#FC8D62
country	Czech Republic	#FDC086
country	Bulgaria	#B2DF8A
country	United Arab Emirates	#FB8072
country	Zambia	#999999
country	Germany	#d9601e
country	Belgium	#7FC97F
country	Slovakia	#386CB0
country	Brazil	#FDBF6F
country	Canada	#FBB4AE
country	Slovenia	#FB9A99
country	Niger	#F4CAE4
country	Iran	#D9D9D9
country	Netherlands	#8DA0CB
country	Namibia	#FFED6F
region	USA_unknown	#808080
region	USA_NY	#000C66
region	USA_CO	#000C66
region	USA_AZ	#000C66
region	USA_NV	#000C66
region	USA_Colorado	#000C66
region	USA_ID	#000C66
region	USA_Connecticut	#000C66
region	USA_TX	#000C66
region	USA_Illinois	#000C66
region	USA_Texas	#000C66
region	USA_California	#000C66
region	USA_New York	#000C66
region	USA_VA	#000C66
region	USA_North Dakota	#000C66
region	USA_GA	#000C66
region	USA_MS	#000C66
region	USA_WY	#000C66
region	USA_Wisconsin	#000C66
region	Egypt_unknown	#808080
region	Romania_Bucharest	#E5D8BD
region	Israel_unknown	#808080
region	Portugal_Guia	#FFD92F
region	Portugal_Alentejo	#FFD92F
region	Kenya_unknown	#808080
region	France_Arles	#984EA3
region	Tunisia_unknown	#808080
region	Russia_Volgograd	#99004d
region	Uganda_unknown	#808080
region	Morocco_Kenitra	#BE2114
region	Mexico_Baja Calfornia Norte	#66A61E
region	Mexico_Tamaulipas	#66A61E
region	Mexico_Sonora	#66A61E
region	Mexico_Florida	#66A61E
region	Hungary_Biharugra	#66C2A5
region	Hungary_unknown	#808080
region	Madagascar_unknown	#808080
