"geo","x","col"
"region","Germany_Sandersdorf","#666666"
"region","Germany_Leipzig","#666666"
"region","Germany_Magdeburg","#666666"
"region","Germany_Krostitz","#666666"
"region","Germany_Rackwitz","#666666"
"region","Germany_Merseburg","#666666"
"region","Belgium_Antwerpen","#66C2A5"
"region","Slovakia_Velky Biel","#FF7F00"
"region","Slovakia_Secovce","#FF7F00"
"region","Greece_Peloponnesus","#7FC97F"
"region","Brazil_unknown","#FF7F00"
"region","Canada_unknown","#B15928"
"region","Germany_unknown","#666666"
"region","Romania_Caraorman","#F781BF"
"region","Germany_Rostock","#666666"
"region","Slovenia_Gornja Radgona","#377EB8"
"region","Slovenia_Ljubljana","#377EB8"
"region","Niger_Niger","#E41A1C"
"region","Russia_Tomsk","#FBB4AE"
"region","Iran_unknown","#FFFF99"
"region","Greece_Pella","#7FC97F"
"region","Greece_Rhodope","#7FC97F"
"region","Greece_Imathia","#7FC97F"
"region","Germany_Schonebeck","#666666"
"region","Germany_Jesewitz","#666666"
"region","Germany_Hamburg","#666666"
"region","Italy_Vicenza","#80B1D3"
"region","Greece_Larissa","#7FC97F"
"region","Greece_Kardita","#7FC97F"
"region","Bulgaria_Pleven","#CCEBC5"
"region","France_unknown","#66A61E"
"region","Brazil_Espirito Santo state, Joao Neiva municipality","#FF7F00"
"region","Netherlands_Netherlands","#666666"
"region","Namibia_Namibia","#FED9A6"
"region","Brazil_Piaui","#FF7F00"
"region","Brazil_Sao Paulo","#FF7F00"
"region","Brazil_Minas Gerais","#FF7F00"
"region","Slovakia_Kavecany","#FF7F00"
"region","Italy_Naples","#80B1D3"
"region","Serbia_Temerin","#FFF2AE"
"region","Serbia_Subotica","#FFF2AE"
"region","Serbia_Mali Idjos","#FFF2AE"
"region","Serbia_Curug","#FFF2AE"
"region","Serbia_Belgrade","#FFF2AE"
"region","Serbia_Novi Becej","#FFF2AE"
"region","Serbia_Karavukovo","#FFF2AE"
"region","Serbia_Sombor","#FFF2AE"
"region","Serbia_Opovo","#FFF2AE"
"region","Spain_Malaga","#FFFF99"
"region","Spain_Lleida","#FFFF99"
"region","Spain_Tarragona","#FFFF99"
"region","Italy_Venezia","#80B1D3"
