intro,parent_node,inferred_date
1,3925,2013-08-12
2,4040,2015-07-10
3,4446,2015-01-25
4,4567,2012-07-19
5,4713,2012-07-20
6,4840,2011-06-23
7,4932,2017-02-09
8,4942,2018-07-20
