strain	accession	date	country	state	region	host	lineage	host_genus
MH507700	MH507700	2016-01-27	USA	USA/unknown	North America	bird	1a	Corvus
JF920753	JF920753	2008-06-01	USA	USA/unknown	North America	mosquito	1a	Culex
MH507753	MH507753	2017-08-28	USA	USA/unknown	North America	bird	1a	Corvus
KJ501252	KJ501252	2008-06-01	USA	USA/unknown	North America	bird	1a	Passer
MN481594	MN481594	2012-09-05	Greece	Greece/unknown	Europe	mosquito	2	Culicidae
MH507691	MH507691	2017-10-05	USA	USA/unknown	North America	mosquito	1a	Culicidae
HM756657	HM756657	2003-06-01	USA	USA/unknown	North America	mosquito	1a	Culex
KY782122	KY782122	2010-09-03	USA	USA/unknown	North America	mosquito	1a	Culex
HM152773	HM152773	2000-06-01	Israel	Israel/unknown	Asia	human	1a	Homo
HQ671699	HQ671699	2002-06-01	USA	USA/unknown	North America	mosquito	1a	Ochlerotatus
KX394405	KX394405	1963-06-01	Australia	Australia/unknown	Oceania	mosquito	kunjin	Culex
MH819459	MH819459	2014-09-04	Canada	Canada/unknown	North America	mosquito	1a	Culex
KJ501384	KJ501384	2002-06-01	USA	USA/unknown	North America	bird	1a	Cyanocitta
JN367277	JN367277	2004-06-01	USA	USA/unknown	North America	bird	1a	Corvus
KX547174	KX547174	2013-07-16	USA	USA/unknown	North America	mosquito	1a	Culex
MF175835	MF175835	2014-08-10	USA	USA/unknown	North America	mosquito	1a	Culex
KX547481	KX547481	2005-09-01	USA	USA/unknown	North America	bird	1a	Cyanocitta
LR743455	LR743455	2019-09-17	Germany	Germany/unknown	Europe	mosquito	2	Culex
KX547479	KX547479	2005-09-07	USA	USA/unknown	North America	mosquito	1a	Aedes
KJ145827	KJ145827	2010-06-01	USA	USA/unknown	North America	bird	1a	Corvus
JX041634	JX041634	1999-06-01	Russia	Russia/unknown	Asia	human	1a	Homo
KX547493	KX547493	2004-09-19	USA	USA/unknown	North America	bird	1a	Corvus
KJ501295	KJ501295	2002-06-01	USA	USA/unknown	North America	bird	1a	Cyanocitta
KX547582	KX547582	2010-07-02	USA	USA/unknown	North America	mosquito	1a	Culex
LR743422	LR743422	2019-08-26	Germany	Germany/unknown	Europe	bird	2	Accipiter
KJ145821	KJ145821	2006-06-01	USA	USA/unknown	North America	bird	1a	Corvus
KT757319	KT757319	2013-06-01	Serbia	Serbia/unknown	Europe	mosquito	2	Culex
JN183885	JN183885	2008-06-01	USA	USA/unknown	North America	bird	1a	Cyanocitta
KF179639	KF179639	2012-09-01	Greece	Greece/unknown	Europe	human	2	Homo
LR743423	LR743423	2019-08-31	Germany	Germany/unknown	Europe	bird	2	Accipiter
KJ501391	KJ501391	2003-06-01	USA	USA/unknown	North America	bird	1a	Pelecanus
KF823806	KF823806	2013-10-01	Italy	Italy/unknown	Europe	human	2	Homo
MH507662	MH507662	2014-10-03	USA	USA/unknown	North America	bird	1a	Corvus
JN393308	JN393308	2008-04-15	South Africa	South Africa/unknown	Africa	ungulate	2	Equus
HQ671742	HQ671742	2002-06-01	USA	USA/unknown	North America	bird	1a	Cyanocitta
KX547222	KX547222	2012-07-06	USA	USA/unknown	North America	mosquito	1a	Aedes
KX547283	KX547283	2012-08-30	USA	USA/unknown	North America	mosquito	1a	Aedes
AY532665	AY532665	1937-06-01	Uganda	Uganda/unknown	Africa	human	2	Homo
MF984348	MF984348	2016-06-01	Austria	Austria/unknown	Europe	human	2	Homo
MH170243	MH170243	2006-06-01	USA	USA/unknown	North America	mosquito	1a	Culex
KY782115	KY782115	2010-08-04	USA	USA/unknown	North America	mosquito	1a	Culex
KX547331	KX547331	2002-09-26	USA	USA/unknown	North America	bird	1a	Cyanocitta
MH507723	MH507723	2011-08-22	USA	USA/unknown	North America	bird	1a	Pheucticus
MH507908	MH507908	2005-07-01	USA	USA/unknown	North America	mosquito	1a	Culex
HQ537483	HQ537483	2010-06-01	Greece	Greece/unknown	Europe	mosquito	2	Culex
MH507734	MH507734	2013-08-02	USA	USA/unknown	North America	bird	1a	Turdus
AY765264	AY765264	1997-06-01	Czech Republic	Czech Republic/unknown	Europe	mosquito	rabensburg	Culex
MH819471	MH819471	2004-09-07	Canada	Canada/unknown	North America	mosquito	1a	Culex
KJ501147	KJ501147	2008-06-01	USA	USA/unknown	North America	mosquito	1a	Culex
KM203860	KM203860	2013-08-08	Czech Republic	Czech Republic/unknown	Europe	mosquito	2	Culex
MN619801	MN619801	2018-06-01	Russia	Russia/unknown	Asia	mosquito	2	Culex
KJ831223	KJ831223	2013-08-01	Austria	Austria/unknown	Europe	mosquito	4	Uranotaenia
KR348978	KR348978	2008-06-27	USA	USA/unknown	North America	mosquito	1a	Culex
KF647252	KF647252	2013-08-01	Italy	Italy/unknown	Europe	human	2	Homo
JF703163	JF703163	2005-11-08	USA	USA/unknown	North America	mosquito	1a	Culex
MN939563	MN939563	2018-06-01	Italy	Italy/unknown	Europe	human	2	Homo
KY523178	KY523178	2009-06-01	Uganda	Uganda/unknown	Africa	mosquito	2	Culex
HM488139	HM488139	2003-06-01	USA	USA/unknown	North America	mosquito	1a	Culex
MN238669	MN238669	2017-06-01	Iran	Iran/unknown	Asia	mosquito	2	Culex
KY703856	KY703856	1992-06-01	Senegal	Senegal/unknown	Africa	mosquito	8	Culex
LR743434	LR743434	2018-09-03	Germany	Germany/unknown	Europe	bird	2	Strix
KR348941	KR348941	2011-08-30	USA	USA/unknown	North America	mosquito	1a	Culex
KX547528	KX547528	2007-08-24	USA	USA/unknown	North America	bird	1a	Cyanocitta
KX394383	KX394383	1972-06-01	Australia	Australia/unknown	Oceania	mosquito	kunjin	Culex
KJ501325	KJ501325	2002-06-01	USA	USA/unknown	North America	unknown	1a	unknown
KJ501207	KJ501207	2012-06-01	USA	USA/unknown	North America	mosquito	1a	Culex
KY229067	KY229067	2012-07-31	USA	USA/unknown	North America	mosquito	1a	Culex
