"strain","accession","date","year","country","state","CO","division","zone","trap","lineage","sublineage","host"
"MH819467/2013/Canada/CAN/QC/Pointe_Claire/WN02/unknown/Mosquito-Culex","MH819467",2013-08-19,2013,"Canada","CAN/QC","Not CO","CAN/QC","CAN/QC","CAN/QC","WN02","unknown","Mosquito-Culex"
"MH819468/2004/Canada/CAN/QC/Saint_Hyacinthe/WN02/unknown/Mosquito-Culex","MH819468",2004-08-08,2004,"Canada","CAN/QC","Not CO","CAN/QC","CAN/QC","CAN/QC","WN02","unknown","Mosquito-Culex"
"MH819469/2006/Canada/CAN/QC/Cote_St_Luc_Hamstead/WN02/unknown/Aedes vexans","MH819469",2006-08-29,2006,"Canada","CAN/QC","Not CO","CAN/QC","CAN/QC","CAN/QC","WN02","unknown","Aedes vexans"
"MH819470/2014/Canada/CAN/QC/Montr_al/WN02/unknown/Mosquito-Culex","MH819470",2014-09-15,2014,"Canada","CAN/QC","Not CO","CAN/QC","CAN/QC","CAN/QC","WN02","unknown","Mosquito-Culex"
"MH819471/2004/Canada/CAN/QC/Laval/WN02/unknown/Mosquito-Culex","MH819471",2004-09-07,2004,"Canada","CAN/QC","Not CO","CAN/QC","CAN/QC","CAN/QC","WN02","unknown","Mosquito-Culex"
"JN716371/2008/Colombia/COL/ANT/Medellin/NY99/unknown/Bird-other","JN716371",2008-07-15,2008,"Colombia","COL/ANT","Not CO","COL/ANT/Medellin","COL/ANT/Medellin","COL/ANT/Medellin","NY99","unknown","Bird-other"
"JN716372/2008/Colombia/COL/ANT/Medellin/NY99/unknown/Bird-other","JN716372",2008-07-15,2008,"Colombia","COL/ANT","Not CO","COL/ANT/Medellin","COL/ANT/Medellin","COL/ANT/Medellin","NY99","unknown","Bird-other"
"KU978766/2008/Colombia/COL/ANT/Medellin/NY99/unknown/Bird-other","KU978766",2008-07-15,2008,"Colombia","COL/ANT","Not CO","COL/ANT/Medellin","COL/ANT/Medellin","COL/ANT/Medellin","NY99","unknown","Bird-other"
"AF481864/1998/Israel/ISR/D/Eilat/pre-NY/unknown/Bird-other","AF481864",1998-08-28,1998,"Israel","ISR/D","Not CO","ISR/D/Eilat","ISR/D/Eilat","ISR/D/Eilat","pre-NY","unknown","Bird-other"
"DQ080060/2004/Mexico/MEX/BCN/Unknown/WN02/unknown/Bird-crow","DQ080060",2004-08-01,2004,"Mexico","MEX/BCN","Not CO","MEX/BCN/Unknown","MEX/BCN/Unknown","MEX/BCN/Unknown","WN02","unknown","Bird-crow"
"DQ080063/2003/Mexico/MEX/BCN/Unknown/SW03/unknown/Bird-other","DQ080063",2003-08-01,2003,"Mexico","MEX/BCN","Not CO","MEX/BCN/Unknown","MEX/BCN/Unknown","MEX/BCN/Unknown","SW03","unknown","Bird-other"
"DQ080064/2003/Mexico/MEX/BCN/Unknown/SW03/unknown/Bird-other","DQ080064",2003-08-01,2003,"Mexico","MEX/BCN","Not CO","MEX/BCN/Unknown","MEX/BCN/Unknown","MEX/BCN/Unknown","SW03","unknown","Bird-other"
"DQ080065/2003/Mexico/MEX/BCN/Unknown/SW03/unknown/Bird-other","DQ080065",2003-08-01,2003,"Mexico","MEX/BCN","Not CO","MEX/BCN/Unknown","MEX/BCN/Unknown","MEX/BCN/Unknown","SW03","unknown","Bird-other"
"DQ080066/2003/Mexico/MEX/BCN/Unknown/SW03/unknown/Bird-other","DQ080066",2003-08-01,2003,"Mexico","MEX/BCN","Not CO","MEX/BCN/Unknown","MEX/BCN/Unknown","MEX/BCN/Unknown","SW03","unknown","Bird-other"
"DQ080067/2003/Mexico/MEX/BCN/Unknown/SW03/unknown/Bird-other","DQ080067",2003-08-01,2003,"Mexico","MEX/BCN","Not CO","MEX/BCN/Unknown","MEX/BCN/Unknown","MEX/BCN/Unknown","SW03","unknown","Bird-other"
"DQ080068/2003/Mexico/MEX/BCN/Unknown/SW03/unknown/Bird-other","DQ080068",2003-08-01,2003,"Mexico","MEX/BCN","Not CO","MEX/BCN/Unknown","MEX/BCN/Unknown","MEX/BCN/Unknown","SW03","unknown","Bird-other"
"DQ080069/2003/Mexico/MEX/TAM/Unknown/SW03/unknown/Horse","DQ080069",2003-08-01,2003,"Mexico","MEX/TAM","Not CO","MEX/TAM/Unknown","MEX/TAM/Unknown","MEX/TAM/Unknown","SW03","unknown","Horse"
