"strain","accession","date","year","country","state","CO","division","zone","trap","lineage","sublineage","host"
"KJ501504/2003/USA/ND/Burleigh/WN02/unknown/Bird-other","KJ501504",2003-08-13,2003,"USA","ND","Not CO","ND/Burleigh","ND/Burleigh","ND/Burleigh","WN02","unknown","Bird-other"
"KJ501505/2002/USA/OK/Unknown/WN02/unknown/Bird-crow","KJ501505",2002-07-17,2002,"USA","OK","Not CO","OK/Unknown","OK/Unknown","OK/Unknown","WN02","unknown","Bird-crow"
"KJ501506/2003/USA/OK/Payne/WN02/unknown/Bird-crow","KJ501506",2003-09-30,2003,"USA","OK","Not CO","OK/Payne","OK/Payne","OK/Payne","WN02","unknown","Bird-crow"
"KJ501507/2001/USA/SD/Bennett/WN02/unknown/Bird-other","KJ501507",2001-08-30,2001,"USA","SD","Not CO","SD/Bennett","SD/Bennett","SD/Bennett","WN02","unknown","Bird-other"
"KJ501508/2003/USA/TX/Unknown/WN02/unknown/Bird-other","KJ501508",2003-07-31,2003,"USA","TX","Not CO","TX/Unknown","TX/Unknown","TX/Unknown","WN02","unknown","Bird-other"
"KJ501509/2001/USA/WI/Milwaukee/WN02/unknown/Bird-other","KJ501509",2001-11-09,2001,"USA","WI","Not CO","WI","WI","WI","WN02","unknown","Bird-other"
"KJ501510/2002/USA/AR/Unknown/WN02/unknown/Bird-other","KJ501510",2002-08-02,2002,"USA","AR","Not CO","AR/Unknown","AR/Unknown","AR/Unknown","WN02","unknown","Bird-other"
"KJ501511/2002/USA/AR/Unknown/WN02/unknown/Bird-other","KJ501511",2002-08-02,2002,"USA","AR","Not CO","AR/Unknown","AR/Unknown","AR/Unknown","WN02","unknown","Bird-other"
"KJ501512/2001/USA/GA/Fulton/NY99/unknown/Bird-crow","KJ501512",2001-10-02,2001,"USA","GA","Not CO","GA","GA","GA","NY99","unknown","Bird-crow"
"KJ501514/2002/USA/GA/Unknown/WN02/unknown/Bird-crow","KJ501514",2002-10-02,2002,"USA","GA","Not CO","GA","GA","GA","WN02","unknown","Bird-crow"
"KJ501515/2001/USA/NJ/Middlesex/NY99/unknown/Bird-other","KJ501515",2001-10-31,2001,"USA","NJ","Not CO","NJ/Middlesex","NJ/Middlesex","NJ/Middlesex","NY99","unknown","Bird-other"
"KJ501516/2001/USA/OH/Wood/NY99/unknown/Bird-crow","KJ501516",2001-09-20,2001,"USA","OH","Not CO","OH","OH","OH","NY99","unknown","Bird-crow"
"KJ501517/2002/USA/OH/Unknown/WN02/unknown/Bird-crow","KJ501517",2002-08-15,2002,"USA","OH","Not CO","OH","OH","OH","WN02","unknown","Bird-crow"
"KJ501518/2007/USA/MT/Phillips/SW03/unknown/Bird-other","KJ501518",2007-07-27,2007,"USA","MT","Not CO","MT/Phillips","MT/Phillips","MT/Phillips","SW03","unknown","Bird-other"
"KJ501519/2002/USA/VA/Unknown/WN02/unknown/Bird-crow","KJ501519",2002-08-13,2002,"USA","VA","Not CO","VA","VA","VA","WN02","unknown","Bird-crow"
"KJ501520/2004/USA/MN/Unknown/WN02/unknown/Bird-other","KJ501520",2004-10-15,2004,"USA","MN","Not CO","MN","MN","MN","WN02","unknown","Bird-other"
"KJ501521/2006/USA/NV/Unknown/SW03/unknown/Bird-other","KJ501521",2006-07-18,2006,"USA","NV","Not CO","NV/Unknown","NV/Unknown","NV/Unknown","SW03","unknown","Bird-other"
"KJ501522/2004/USA/NC/Unknown/SW03/unknown/Bird-other","KJ501522",2004-07-30,2004,"USA","NC","Not CO","NC/Unknown","NC/Unknown","NC/Unknown","SW03","unknown","Bird-other"
"KJ501523/2006/USA/NC/Unknown/WN02/unknown/Bird-other","KJ501523",2006-07-25,2006,"USA","NC","Not CO","NC/Unknown","NC/Unknown","NC/Unknown","WN02","unknown","Bird-other"
"KJ501524/2006/USA/NC/Unknown/WN02/unknown/Bird-other","KJ501524",2006-09-07,2006,"USA","NC","Not CO","NC/Unknown","NC/Unknown","NC/Unknown","WN02","unknown","Bird-other"
"KJ501525/2004/USA/SD/Unknown/WN02/unknown/Bird-other","KJ501525",2004-08-06,2004,"USA","SD","Not CO","SD/Unknown","SD/Unknown","SD/Unknown","WN02","unknown","Bird-other"
"KJ501526/2006/USA/SD/Unknown/SW03/unknown/Bird-other","KJ501526",2006-07-17,2006,"USA","SD","Not CO","SD/Unknown","SD/Unknown","SD/Unknown","SW03","unknown","Bird-other"
"KJ501527/2003/USA/TX/Unknown/WN02/unknown/Bird-crow","KJ501527",2003-08-04,2003,"USA","TX","Not CO","TX/Unknown","TX/Unknown","TX/Unknown","WN02","unknown","Bird-crow"
"KJ501529/2006/USA/WI/Unknown/SW03/unknown/Bird-other","KJ501529",2006-08-16,2006,"USA","WI","Not CO","WI","WI","WI","SW03","unknown","Bird-other"
"KJ501530/2012/USA/PA/Unknown/WN02/unknown/Bird-other","KJ501530",2012-09-27,2012,"USA","PA","Not CO","PA/Unknown","PA/Unknown","PA/Unknown","WN02","unknown","Bird-other"
"KJ501531/2012/USA/NY/Unknown/WN02/unknown/Mosquito-Culex","KJ501531",2012-08-07,2012,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Mosquito-Culex"
"KJ501532/2012/USA/NY/Unknown/WN02/unknown/Mosquito-Culex","KJ501532",2012-08-21,2012,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Mosquito-Culex"
"KJ501533/2012/USA/NY/Unknown/WN02/unknown/Mosquito-Culex","KJ501533",2012-08-24,2012,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Mosquito-Culex"
"KJ501534/2011/USA/NY/Unknown/WN02/unknown/Mosquito-Culex","KJ501534",2011-08-25,2011,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Mosquito-Culex"
"KJ501535/2011/USA/NY/Unknown/WN02/unknown/Mosquito-Culex","KJ501535",2011-09-27,2011,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Mosquito-Culex"
"KJ501536/2011/USA/NY/Unknown/WN02/unknown/Mosquito-Culex","KJ501536",2011-08-26,2011,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Mosquito-Culex"
"KJ501537/2011/USA/NY/Unknown/WN02/unknown/Mosquito-Culex","KJ501537",2011-07-27,2011,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Mosquito-Culex"
"KJ501538/2011/USA/NY/Unknown/WN02/unknown/Mosquito-Culex","KJ501538",2011-07-26,2011,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Mosquito-Culex"
"KJ501539/2011/USA/NY/Unknown/WN02/unknown/Mosquito-Culex","KJ501539",2011-09-23,2011,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Mosquito-Culex"
"KJ786934/2001/USA/NY/Unknown/NY99/unknown/Human","KJ786934",2001-08-01,2001,"USA","NY","Not CO","NY","NY","NY","NY99","unknown","Human"
"KJ786935/2012/USA/TX/Harris/WN02/unknown/Bird-other","KJ786935",2012-08-22,2012,"USA","TX","Not CO","TX/Harris","TX/Harris","TX/Harris","WN02","unknown","Bird-other"
"KJ786936/2012/USA/TX/Harris/WN02/unknown/Bird-other","KJ786936",2012-08-17,2012,"USA","TX","Not CO","TX/Harris","TX/Harris","TX/Harris","WN02","unknown","Bird-other"
"KM012170/2012/USA/AZ/Unknown/WN02/unknown/Human","KM012170",2012-08-01,2012,"USA","AZ","Not CO","AZ/Unknown","AZ/Unknown","AZ/Unknown","WN02","unknown","Human"
"KM012171/2012/USA/MS/Unknown/WN02/unknown/Human","KM012171",2012-08-01,2012,"USA","MS","Not CO","MS/Unknown","MS/Unknown","MS/Unknown","WN02","unknown","Human"
"KM012172/2012/USA/TX/Unknown/SW03/unknown/Human","KM012172",2012-08-01,2012,"USA","TX","Not CO","TX/Unknown","TX/Unknown","TX/Unknown","SW03","unknown","Human"
"KM012173/2012/USA/SD/Unknown/WN02/unknown/Human","KM012173",2012-08-01,2012,"USA","SD","Not CO","SD/Unknown","SD/Unknown","SD/Unknown","WN02","unknown","Human"
"KM012174/2012/USA/AZ/Unknown/WN02/unknown/Human","KM012174",2012-08-01,2012,"USA","AZ","Not CO","AZ/Unknown","AZ/Unknown","AZ/Unknown","WN02","unknown","Human"
"KM012175/2012/USA/CA/Unknown/WN02/unknown/Human","KM012175",2012-08-01,2012,"USA","CA","Not CO","CA/Unknown","CA/Unknown","CA/Unknown","WN02","unknown","Human"
"KM012176/2012/USA/NC/Unknown/WN02/unknown/Human","KM012176",2012-08-01,2012,"USA","NC","Not CO","NC/Unknown","NC/Unknown","NC/Unknown","WN02","unknown","Human"
"KM012177/2012/USA/WY/Unknown/WN02/unknown/Human","KM012177",2012-08-01,2012,"USA","WY","Not CO","WY/Unknown","WY/Unknown","WY/Unknown","WN02","unknown","Human"
"KM012178/2012/USA/TX/Unknown/WN02/unknown/Human","KM012178",2012-08-01,2012,"USA","TX","Not CO","TX/Unknown","TX/Unknown","TX/Unknown","WN02","unknown","Human"
"KM012179/2012/USA/SD/Unknown/WN02/unknown/Human","KM012179",2012-08-01,2012,"USA","SD","Not CO","SD/Unknown","SD/Unknown","SD/Unknown","WN02","unknown","Human"
"KM012180/2012/USA/GA/Unknown/WN02/unknown/Human","KM012180",2012-08-01,2012,"USA","GA","Not CO","GA","GA","GA","WN02","unknown","Human"
"KM012181/2012/USA/LA/Unknown/WN02/unknown/Human","KM012181",2012-08-01,2012,"USA","LA","Not CO","LA","LA","LA","WN02","unknown","Human"
"KM012182/2012/USA/NM/Unknown/WN02/unknown/Human","KM012182",2012-08-01,2012,"USA","NM","Not CO","NM/Unknown","NM/Unknown","NM/Unknown","WN02","unknown","Human"
"KM012183/2012/USA/TX/Unknown/WN02/unknown/Human","KM012183",2012-08-01,2012,"USA","TX","Not CO","TX/Unknown","TX/Unknown","TX/Unknown","WN02","unknown","Human"
"KM012184/2012/USA/OH/Unknown/WN02/unknown/Human","KM012184",2012-08-01,2012,"USA","OH","Not CO","OH","OH","OH","WN02","unknown","Human"
"KM012185/2012/USA/NE/Unknown/WN02/unknown/Human","KM012185",2012-08-01,2012,"USA","NE","Not CO","NE/Unknown","NE/Unknown","NE/Unknown","WN02","unknown","Human"
"KM012186/2012/USA/OH/Unknown/WN02/unknown/Human","KM012186",2012-08-01,2012,"USA","OH","Not CO","OH","OH","OH","WN02","unknown","Human"
"KM012187/2012/USA/NE/Unknown/WN02/unknown/Human","KM012187",2012-08-01,2012,"USA","NE","Not CO","NE/Unknown","NE/Unknown","NE/Unknown","WN02","unknown","Human"
"KM012188/2012/USA/IL/Unknown/WN02/unknown/Human","KM012188",2012-08-01,2012,"USA","IL","Not CO","IL/Unknown","IL/Unknown","IL/Unknown","WN02","unknown","Human"
"KR348915/2011/USA/CA/Contra_Costa/WN02/unknown/Mosquito-Culex","KR348915",2011-08-29,2011,"USA","CA","Not CO","CA/Contra_Costa","CA/Contra_Costa","CA/Contra_Costa","WN02","unknown","Mosquito-Culex"
"KR348916/2008/USA/CA/Contra_Costa/WN02/unknown/Mosquito-Culex","KR348916",2008-08-18,2008,"USA","CA","Not CO","CA/Contra_Costa","CA/Contra_Costa","CA/Contra_Costa","WN02","unknown","Mosquito-Culex"
"KR348917/2008/USA/CA/Contra_Costa/WN02/unknown/Mosquito-Culex","KR348917",2008-08-18,2008,"USA","CA","Not CO","CA/Contra_Costa","CA/Contra_Costa","CA/Contra_Costa","WN02","unknown","Mosquito-Culex"
"KR348918/2011/USA/CA/Contra_Costa/WN02/unknown/Mosquito-Culex","KR348918",2011-03-10,2011,"USA","CA","Not CO","CA/Contra_Costa","CA/Contra_Costa","CA/Contra_Costa","WN02","unknown","Mosquito-Culex"
"KR348919/2009/USA/CA/Contra_Costa/SW03/unknown/Mosquito-Culex","KR348919",2009-07-29,2009,"USA","CA","Not CO","CA/Contra_Costa","CA/Contra_Costa","CA/Contra_Costa","SW03","unknown","Mosquito-Culex"
"KR348920/2009/USA/CA/Contra_Costa/WN02/unknown/Mosquito-Culex","KR348920",2009-03-08,2009,"USA","CA","Not CO","CA/Contra_Costa","CA/Contra_Costa","CA/Contra_Costa","WN02","unknown","Mosquito-Culex"
"KR348921/2009/USA/CA/Contra_Costa/SW03/unknown/Mosquito-Culex","KR348921",2009-03-08,2009,"USA","CA","Not CO","CA/Contra_Costa","CA/Contra_Costa","CA/Contra_Costa","SW03","unknown","Mosquito-Culex"
"KR348922/2009/USA/CA/Contra_Costa/SW03/unknown/Mosquito-Culex","KR348922",2009-08-18,2009,"USA","CA","Not CO","CA/Contra_Costa","CA/Contra_Costa","CA/Contra_Costa","SW03","unknown","Mosquito-Culex"
"KR348923/2003/USA/CA/Imperial/WN02/unknown/Mosquito-Culex","KR348923",2003-08-19,2003,"USA","CA","Not CO","CA/Imperial","CA/Imperial","CA/Imperial","WN02","unknown","Mosquito-Culex"
"KR348924/2003/USA/CA/Imperial/WN02/unknown/Mosquito-Culex","KR348924",2003-08-19,2003,"USA","CA","Not CO","CA/Imperial","CA/Imperial","CA/Imperial","WN02","unknown","Mosquito-Culex"
"KR348925/2003/USA/CA/Imperial/WN02/unknown/Mosquito-Culex","KR348925",2003-08-19,2003,"USA","CA","Not CO","CA/Imperial","CA/Imperial","CA/Imperial","WN02","unknown","Mosquito-Culex"
"KR348926/2008/USA/CA/Riverside/SW03/unknown/Mosquito-Culex","KR348926",2008-12-06,2008,"USA","CA","Not CO","CA/Riverside","CA/Riverside","CA/Riverside","SW03","unknown","Mosquito-Culex"
"KR348927/2003/USA/CA/Imperial/WN02/unknown/Mosquito-Culex","KR348927",2003-09-16,2003,"USA","CA","Not CO","CA/Imperial","CA/Imperial","CA/Imperial","WN02","unknown","Mosquito-Culex"
"KR348928/2007/USA/CA/Riverside/SW03/unknown/Mosquito-Culex","KR348928",2007-10-07,2007,"USA","CA","Not CO","CA/Riverside","CA/Riverside","CA/Riverside","SW03","unknown","Mosquito-Culex"
"KR348929/2008/USA/CA/Riverside/SW03/unknown/Mosquito-Culex","KR348929",2008-10-07,2008,"USA","CA","Not CO","CA/Riverside","CA/Riverside","CA/Riverside","SW03","unknown","Mosquito-Culex"
"KR348930/2009/USA/CA/Riverside/SW03/unknown/Mosquito-Culex","KR348930",2009-01-09,2009,"USA","CA","Not CO","CA/Riverside","CA/Riverside","CA/Riverside","SW03","unknown","Mosquito-Culex"
"KR348931/2009/USA/CA/Riverside/SW03/unknown/Mosquito-Culex","KR348931",2009-01-09,2009,"USA","CA","Not CO","CA/Riverside","CA/Riverside","CA/Riverside","SW03","unknown","Mosquito-Culex"
"KR348932/2007/USA/CA/Riverside/SW03/unknown/Mosquito-Culex","KR348932",2007-09-18,2007,"USA","CA","Not CO","CA/Riverside","CA/Riverside","CA/Riverside","SW03","unknown","Mosquito-Culex"
"KR348933/2008/USA/CA/Riverside/SW03/unknown/Mosquito-Culex","KR348933",2008-03-09,2008,"USA","CA","Not CO","CA/Riverside","CA/Riverside","CA/Riverside","SW03","unknown","Mosquito-Culex"
"KR348934/2007/USA/CA/Riverside/SW03/unknown/Mosquito-Culex","KR348934",2007-09-18,2007,"USA","CA","Not CO","CA/Riverside","CA/Riverside","CA/Riverside","SW03","unknown","Mosquito-Culex"
"KR348935/2005/USA/CA/Riverside/WN02/unknown/Mosquito-Culex","KR348935",2005-05-29,2005,"USA","CA","Not CO","CA/Riverside","CA/Riverside","CA/Riverside","WN02","unknown","Mosquito-Culex"
"KR348936/2008/USA/CA/Riverside/WN02/unknown/Mosquito-Culex","KR348936",2008-09-25,2008,"USA","CA","Not CO","CA/Riverside","CA/Riverside","CA/Riverside","WN02","unknown","Mosquito-Culex"
"KR348937/2010/USA/CA/Riverside/SW03/unknown/Mosquito-Culex","KR348937",2010-08-06,2010,"USA","CA","Not CO","CA/Riverside","CA/Riverside","CA/Riverside","SW03","unknown","Mosquito-Culex"
"KR348938/2011/USA/CA/Riverside/SW03/unknown/Mosquito-Culex","KR348938",2011-02-15,2011,"USA","CA","Not CO","CA/Riverside","CA/Riverside","CA/Riverside","SW03","unknown","Mosquito-Culex"
"KR348939/2005/USA/CA/Riverside/WN02/unknown/Mosquito-Culex","KR348939",2005-06-19,2005,"USA","CA","Not CO","CA/Riverside","CA/Riverside","CA/Riverside","WN02","unknown","Mosquito-Culex"
"KR348940/2010/USA/CA/Riverside/SW03/unknown/Mosquito-Culex","KR348940",2010-08-06,2010,"USA","CA","Not CO","CA/Riverside","CA/Riverside","CA/Riverside","SW03","unknown","Mosquito-Culex"
"KR348941/2011/USA/CA/Riverside/SW03/unknown/Mosquito-Culex","KR348941",2011-08-30,2011,"USA","CA","Not CO","CA/Riverside","CA/Riverside","CA/Riverside","SW03","unknown","Mosquito-Culex"
"KR348942/2011/USA/CA/Riverside/SW03/unknown/Mosquito-Culex","KR348942",2011-08-30,2011,"USA","CA","Not CO","CA/Riverside","CA/Riverside","CA/Riverside","SW03","unknown","Mosquito-Culex"
"KR348943/2004/USA/CA/Riverside/WN02/unknown/Mosquito-Culex","KR348943",2004-04-14,2004,"USA","CA","Not CO","CA/Riverside","CA/Riverside","CA/Riverside","WN02","unknown","Mosquito-Culex"
"KR348944/2010/USA/CA/Riverside/SW03/unknown/Mosquito-Culex","KR348944",2010-09-14,2010,"USA","CA","Not CO","CA/Riverside","CA/Riverside","CA/Riverside","SW03","unknown","Mosquito-Culex"
"KR348945/2004/USA/CA/Riverside/WN02/unknown/Mosquito-Culex","KR348945",2004-04-28,2004,"USA","CA","Not CO","CA/Riverside","CA/Riverside","CA/Riverside","WN02","unknown","Mosquito-Culex"
"KR348946/2008/USA/CA/Los_Angeles/SW03/unknown/Mosquito-Culex","KR348946",2008-07-24,2008,"USA","CA","Not CO","CA/Los_Angeles","CA/Los_Angeles","CA/Los_Angeles","SW03","unknown","Mosquito-Culex"
"KR348947/2007/USA/CA/Los_Angeles/WN02/unknown/Mosquito-Culex","KR348947",2007-09-18,2007,"USA","CA","Not CO","CA/Los_Angeles","CA/Los_Angeles","CA/Los_Angeles","WN02","unknown","Mosquito-Culex"
"KR348948/2004/USA/CA/Riverside/SW03/unknown/Mosquito-Culex","KR348948",2004-08-16,2004,"USA","CA","Not CO","CA/Riverside","CA/Riverside","CA/Riverside","SW03","unknown","Mosquito-Culex"
"KR348949/2004/USA/CA/Riverside/WN02/unknown/Mosquito-Culex","KR348949",2004-08-24,2004,"USA","CA","Not CO","CA/Riverside","CA/Riverside","CA/Riverside","WN02","unknown","Mosquito-Culex"
"KR348950/2008/USA/CA/Los_Angeles/WN02/unknown/Mosquito-Culex","KR348950",2008-05-22,2008,"USA","CA","Not CO","CA/Los_Angeles","CA/Los_Angeles","CA/Los_Angeles","WN02","unknown","Mosquito-Culex"
"KR348951/2004/USA/CA/Los_Angeles/WN02/unknown/Mosquito-Culex","KR348951",2004-05-17,2004,"USA","CA","Not CO","CA/Los_Angeles","CA/Los_Angeles","CA/Los_Angeles","WN02","unknown","Mosquito-Culex"
"KR348952/2007/USA/CA/Los_Angeles/WN02/unknown/Mosquito-Culex","KR348952",2007-10-18,2007,"USA","CA","Not CO","CA/Los_Angeles","CA/Los_Angeles","CA/Los_Angeles","WN02","unknown","Mosquito-Culex"
"KR348953/2008/USA/CA/Los_Angeles/WN02/unknown/Mosquito-Culex","KR348953",2008-09-25,2008,"USA","CA","Not CO","CA/Los_Angeles","CA/Los_Angeles","CA/Los_Angeles","WN02","unknown","Mosquito-Culex"
"KR348954/2010/USA/CA/Los_Angeles/WN02/unknown/Mosquito-Culex","KR348954",2010-11-08,2010,"USA","CA","Not CO","CA/Los_Angeles","CA/Los_Angeles","CA/Los_Angeles","WN02","unknown","Mosquito-Culex"
"KR348955/2007/USA/CA/Los_Angeles/SW03/unknown/Mosquito-Culex","KR348955",2007-05-12,2007,"USA","CA","Not CO","CA/Los_Angeles","CA/Los_Angeles","CA/Los_Angeles","SW03","unknown","Mosquito-Culex"
"KR348956/2010/USA/CA/Los_Angeles/WN02/unknown/Mosquito-Culex","KR348956",2010-12-08,2010,"USA","CA","Not CO","CA/Los_Angeles","CA/Los_Angeles","CA/Los_Angeles","WN02","unknown","Mosquito-Culex"
"KR348957/2010/USA/CA/Los_Angeles/WN02/unknown/Mosquito-Culex","KR348957",2010-12-08,2010,"USA","CA","Not CO","CA/Los_Angeles","CA/Los_Angeles","CA/Los_Angeles","WN02","unknown","Mosquito-Culex"
"KR348958/2011/USA/CA/Los_Angeles/WN02/unknown/Mosquito-Culex","KR348958",2011-02-09,2011,"USA","CA","Not CO","CA/Los_Angeles","CA/Los_Angeles","CA/Los_Angeles","WN02","unknown","Mosquito-Culex"
"KR348959/2011/USA/CA/Los_Angeles/WN02/unknown/Mosquito-Culex","KR348959",2011-02-09,2011,"USA","CA","Not CO","CA/Los_Angeles","CA/Los_Angeles","CA/Los_Angeles","WN02","unknown","Mosquito-Culex"
"KR348960/2011/USA/CA/Los_Angeles/WN02/unknown/Mosquito-Culex","KR348960",2011-02-09,2011,"USA","CA","Not CO","CA/Los_Angeles","CA/Los_Angeles","CA/Los_Angeles","WN02","unknown","Mosquito-Culex"
"KR348961/2011/USA/CA/Los_Angeles/WN02/unknown/Mosquito-Culex","KR348961",2011-02-09,2011,"USA","CA","Not CO","CA/Los_Angeles","CA/Los_Angeles","CA/Los_Angeles","WN02","unknown","Mosquito-Culex"
"KR348962/2011/USA/CA/Los_Angeles/WN02/unknown/Mosquito-Culex","KR348962",2011-02-09,2011,"USA","CA","Not CO","CA/Los_Angeles","CA/Los_Angeles","CA/Los_Angeles","WN02","unknown","Mosquito-Culex"
"KR348963/2011/USA/CA/Los_Angeles/WN02/unknown/Mosquito-Culex","KR348963",2011-02-09,2011,"USA","CA","Not CO","CA/Los_Angeles","CA/Los_Angeles","CA/Los_Angeles","WN02","unknown","Mosquito-Culex"
"KR348964/2011/USA/CA/Los_Angeles/WN02/unknown/Mosquito-Culex","KR348964",2011-10-25,2011,"USA","CA","Not CO","CA/Los_Angeles","CA/Los_Angeles","CA/Los_Angeles","WN02","unknown","Mosquito-Culex"
"KR348965/2011/USA/CA/Los_Angeles/WN02/unknown/Mosquito-Culex","KR348965",2011-10-26,2011,"USA","CA","Not CO","CA/Los_Angeles","CA/Los_Angeles","CA/Los_Angeles","WN02","unknown","Mosquito-Culex"
"KR348966/2011/USA/CA/Los_Angeles/WN02/unknown/Mosquito-Culex","KR348966",2011-10-28,2011,"USA","CA","Not CO","CA/Los_Angeles","CA/Los_Angeles","CA/Los_Angeles","WN02","unknown","Mosquito-Culex"
"KR348967/2011/USA/CA/Los_Angeles/WN02/unknown/Mosquito-Culex","KR348967",2011-11-17,2011,"USA","CA","Not CO","CA/Los_Angeles","CA/Los_Angeles","CA/Los_Angeles","WN02","unknown","Mosquito-Culex"
"KR348968/2008/USA/CA/Los_Angeles/WN02/unknown/Mosquito-Culex","KR348968",2008-07-22,2008,"USA","CA","Not CO","CA/Los_Angeles","CA/Los_Angeles","CA/Los_Angeles","WN02","unknown","Mosquito-Culex"
"KR348969/2011/USA/CA/Los_Angeles/WN02/unknown/Mosquito-Culex","KR348969",2011-06-24,2011,"USA","CA","Not CO","CA/Los_Angeles","CA/Los_Angeles","CA/Los_Angeles","WN02","unknown","Mosquito-Culex"
"KR348970/2008/USA/CA/Los_Angeles/WN02/unknown/Mosquito-Culex","KR348970",2008-07-22,2008,"USA","CA","Not CO","CA/Los_Angeles","CA/Los_Angeles","CA/Los_Angeles","WN02","unknown","Mosquito-Culex"
"KR348971/2011/USA/CA/Los_Angeles/WN02/unknown/Mosquito-Culex","KR348971",2011-06-30,2011,"USA","CA","Not CO","CA/Los_Angeles","CA/Los_Angeles","CA/Los_Angeles","WN02","unknown","Mosquito-Culex"
"KR348972/2011/USA/CA/Los_Angeles/WN02/unknown/Mosquito-Culex","KR348972",2011-06-07,2011,"USA","CA","Not CO","CA/Los_Angeles","CA/Los_Angeles","CA/Los_Angeles","WN02","unknown","Mosquito-Culex"
"KR348973/2011/USA/CA/Los_Angeles/WN02/unknown/Mosquito-Culex","KR348973",2011-06-07,2011,"USA","CA","Not CO","CA/Los_Angeles","CA/Los_Angeles","CA/Los_Angeles","WN02","unknown","Mosquito-Culex"
"KR348974/2004/USA/CA/Los_Angeles/WN02/unknown/Mosquito-Culex","KR348974",2004-03-08,2004,"USA","CA","Not CO","CA/Los_Angeles","CA/Los_Angeles","CA/Los_Angeles","WN02","unknown","Mosquito-Culex"
"KR348975/2004/USA/CA/Los_Angeles/SW03/unknown/Mosquito-Culex","KR348975",2004-03-08,2004,"USA","CA","Not CO","CA/Los_Angeles","CA/Los_Angeles","CA/Los_Angeles","SW03","unknown","Mosquito-Culex"
"KR348976/2011/USA/CA/Inyo/SW03/unknown/Mosquito-Culex","KR348976",2011-07-18,2011,"USA","CA","Not CO","CA/Inyo","CA/Inyo","CA/Inyo","SW03","unknown","Mosquito-Culex"
"KR348977/2011/USA/CA/Inyo/SW03/unknown/Mosquito-Culex","KR348977",2011-08-15,2011,"USA","CA","Not CO","CA/Inyo","CA/Inyo","CA/Inyo","SW03","unknown","Mosquito-Culex"
"KR348978/2008/USA/CA/Kern/SW03/unknown/Mosquito-Culex","KR348978",2008-06-27,2008,"USA","CA","Not CO","CA/Kern","CA/Kern","CA/Kern","SW03","unknown","Mosquito-Culex"
"KR348979/2004/USA/CA/Kern/SW03/unknown/Mosquito-Culex","KR348979",2004-07-13,2004,"USA","CA","Not CO","CA/Kern","CA/Kern","CA/Kern","SW03","unknown","Mosquito-Culex"
"KR348980/2011/USA/CA/Kern/WN02/unknown/Mosquito-Culex","KR348980",2011-01-09,2011,"USA","CA","Not CO","CA/Kern","CA/Kern","CA/Kern","WN02","unknown","Mosquito-Culex"
"KR348981/2011/USA/CA/Kern/SW03/unknown/Mosquito-Culex","KR348981",2011-01-09,2011,"USA","CA","Not CO","CA/Kern","CA/Kern","CA/Kern","SW03","unknown","Mosquito-Culex"
"KR348982/2011/USA/CA/Kern/WN02/unknown/Mosquito-Culex","KR348982",2011-01-09,2011,"USA","CA","Not CO","CA/Kern","CA/Kern","CA/Kern","WN02","unknown","Mosquito-Culex"
"KR348983/2011/USA/CA/Kern/WN02/unknown/Mosquito-Culex","KR348983",2011-01-09,2011,"USA","CA","Not CO","CA/Kern","CA/Kern","CA/Kern","WN02","unknown","Mosquito-Culex"
"KR348984/2011/USA/CA/Kern/WN02/unknown/Mosquito-Culex","KR348984",2011-01-09,2011,"USA","CA","Not CO","CA/Kern","CA/Kern","CA/Kern","WN02","unknown","Mosquito-Culex"
"KR348985/2007/USA/CA/Kern/SW03/unknown/Mosquito-Culex","KR348985",2007-08-14,2007,"USA","CA","Not CO","CA/Kern","CA/Kern","CA/Kern","SW03","unknown","Mosquito-Culex"
"KR348986/2007/USA/CA/Kern/SW03/unknown/Mosquito-Culex","KR348986",2007-08-14,2007,"USA","CA","Not CO","CA/Kern","CA/Kern","CA/Kern","SW03","unknown","Mosquito-Culex"
"KR348987/2008/USA/CA/Kern/SW03/unknown/Mosquito-Culex","KR348987",2008-10-09,2008,"USA","CA","Not CO","CA/Kern","CA/Kern","CA/Kern","SW03","unknown","Mosquito-Culex"
"KR348988/2008/USA/CA/Kern/SW03/unknown/Mosquito-Culex","KR348988",2008-12-09,2008,"USA","CA","Not CO","CA/Kern","CA/Kern","CA/Kern","SW03","unknown","Mosquito-Culex"
"KR348989/2007/USA/CA/Kern/SW03/unknown/Mosquito-Culex","KR348989",2007-11-09,2007,"USA","CA","Not CO","CA/Kern","CA/Kern","CA/Kern","SW03","unknown","Mosquito-Culex"
"KR348990/2007/USA/CA/Kern/SW03/unknown/Mosquito-Culex","KR348990",2007-09-13,2007,"USA","CA","Not CO","CA/Kern","CA/Kern","CA/Kern","SW03","unknown","Mosquito-Culex"
